Run Days,Baseline,"TwentyPct scenario""","FortyPct scenario"""
1,4008,4008,4008
2,3987.154075,3990.570595,3993.987115
3,4008,4008,4008
4,4008,4008,4008
5,4007.284275,4008,4008
6,4008,4008,4008
7,3987.635275,3990.955555,3994.275835
8,3964.935511,3972.033831,3979.136773
9,3940.405043,3951.635068,3962.880554
10,3922.384161,3936.442051,3950.527179
11,3932.752088,3949.648646,3966.587146
12,3920.288109,3939.537817,3958.844231
13,3902.556834,3926.841186,3951.218256
14,3880.152449,3908.097457,3936.168978
15,3855.476963,3887.516041,3919.726343
16,3836.043988,3871.140917,3906.44686
17,3817.134568,3855.93064,3894.98551
18,3809.96589,3852.666292,3895.683378
19,3797.469096,3844.352612,3891.621553
20,3775.664176,3826.026145,3876.837905
21,3755.547556,3809.052561,3863.071199
22,3735.418136,3792.554531,3850.28293
23,3724.5702,3785.648482,3847.407458
24,3701.878383,3766.561765,3832.014905
25,3683.05537,3750.719869,3819.232946
26,3664.06239,3735.465166,3807.820011
27,3654.440492,3728.959386,3804.520217
28,3633.135111,3710.953326,3789.917166
29,3612.949208,3693.968172,3776.237754
30,3590.451664,3674.972347,3760.864602
31,3565.597803,3654.04673,3744.010196
32,3545.047513,3636.610671,3729.80822
33,3523.088447,3618.027549,3714.736643
34,3505.153877,3602.715273,3702.156934
35,3481.819408,3582.987926,3686.193709
36,3457.27836,3562.260954,3669.454536
37,3431.764738,3540.723037,3652.081985
38,3400.1416,3514.165409,3630.845273
39,3379.160147,3496.301087,3616.263731
40,3357.831959,3478.141292,3601.446614
41,3333.203661,3457.260187,3584.526964
42,3311.211368,3438.52738,3569.249377
43,3291.260311,3422.894538,3558.193008
44,3288.737672,3423.536043,3562.179835
45,3274.071401,3411.714841,3553.385504
46,3259.717828,3400.199378,3544.894102
47,3244.640504,3387.793098,3535.340614
48,3249.937398,3396.741647,3548.159506
49,3232.409055,3381.613408,3535.608823
50,3211.85262,3363.972785,3521.105419
51,3188.101578,3343.676238,3504.533669
52,3168.325486,3326.656513,3490.492818
53,3152.673649,3313.045427,3479.091856
54,3140.899263,3302.64529,3470.1824
55,3124.988194,3289.198036,3459.406045
56,3107.852669,3274.336339,3447.018159
57,3088.974494,3258.01786,3433.489588
58,3081.627365,3253.047026,3431.090113
59,3062.844014,3236.789206,3417.595071
60,3045.708655,3221.894301,3405.156151
61,3027.251336,3205.888968,3391.843685
62,3009.506863,3190.477849,3379.001214
63,2994.35859,3177.22562,3367.840478
64,2976.986639,3162.16292,3355.327997
65,2962.123523,3149.135565,3344.332756
66,2949.806964,3138.233519,3334.99908
67,2938.093597,3128.637009,3327.738111
68,2921.806401,3114.398565,3315.779622
69,2903.663293,3098.595664,3302.586587
70,2883.687516,3081.244682,3288.168555
71,2865.557759,3065.484816,3275.061467
72,2849.313783,3051.24647,3263.075175
73,2834.995539,3038.620146,3252.353271
74,2820.716947,3026.021031,3241.648536
75,2811.496701,3017.678489,3234.297511
76,2798.766505,3006.375715,3224.608609
77,2786.990934,2995.873549,3215.548496
78,2771.556117,2982.279632,3204.042589
79,2755.068897,2967.789252,3191.822085
80,2799.041668,3015.920974,3244.35423
81,2800.265122,3018.943517,3249.352518
82,2805.61935,3025.671439,3257.565483
83,2809.443472,3031.372402,3265.31822
84,2800.733827,3024.330637,3260.156003
85,2788.399258,3013.328473,3250.679745
86,2775.908898,3002.190017,3241.092165
87,2760.692587,2988.736342,3229.664068
88,2743.510814,2973.6079,3216.900481
89,2755.589057,2988.467256,3234.788912
90,2746.464435,2980.478264,3228.101708
91,2735.712919,2970.794094,3219.653285
92,2724.254943,2960.506273,3210.722231
93,2713.603981,2950.909791,3202.350755
94,2698.999691,2937.945301,3191.293861
95,2687.497941,2927.616654,3182.332879
96,2676.917883,2918.069818,3173.992637
97,2667.07344,2909.147274,3166.148309
98,2654.214215,2897.650428,3156.24705
99,2641.091992,2885.974324,3146.266097
100,2630.07047,2876.036266,3137.602954
101,2620.895803,2867.723613,3130.303998
102,2624.821005,2873.671827,3138.494818
103,2614.8322,2864.708742,3130.739215
104,2605.271497,2856.008831,3123.058078
105,2595.201155,2846.870213,3115.023574
106,2584.799761,2837.445311,3106.757483
107,2573.024697,2826.839843,3097.542427
108,2561.103878,2816.104773,3088.220237
109,2550.423178,2806.429373,3079.745526
110,2540.627023,2797.510123,3071.875731
111,2529.128322,2787.125497,3062.826217
112,2521.770793,2780.297122,3056.633049
113,2521.492624,2780.781905,3057.96525
114,4008,4008,4008
115,4008,4008,4008
116,3997.677498,3999.024858,4000.372218
117,3990.809821,3993.837796,3996.866603
118,3986.664488,3992.043908,3997.426777
119,4008,4008,4008
120,4000.805298,4001.719578,4002.633858
121,3992.173664,3994.096452,3996.01958
122,3981.870712,3985.135051,3988.400679
123,3972.275825,3976.878235,3981.483542
124,3965.320916,3971.116565,3976.917134
125,3956.301488,3963.190558,3970.086888
126,3947.76782,3955.652764,3963.547504
127,3954.629379,3963.434957,3972.252998
128,3965.633755,3975.560659,3985.503647
129,3956.375277,3967.439718,3978.524419
130,3947.126561,3959.325636,3971.549616
131,3937.173826,3950.646105,3964.149044
132,3929.13275,3943.498487,3957.899352
133,3920.38697,3935.785008,3951.223681
134,3910.229116,3926.937848,3943.694717
135,3902.446769,3919.995656,3937.597924
136,3925.502484,3944.180221,3962.917733
137,3927.266008,3947.055863,3966.913156
138,3939.777537,3960.530168,3981.357188
139,3932.922284,3954.32999,3975.817141
140,3927.020429,3948.89522,3970.853178
141,3922.069317,3945.366345,3968.758081
142,3918.698323,3942.661994,3966.72613
143,3910.672616,3935.519701,3960.475146
144,3904.071533,3929.521743,3955.085918
145,3898.418387,3924.285394,3950.270384
146,3890.881271,3917.53441,3944.313311
147,3884.762511,3911.923239,3939.214973
148,3877.000529,3904.990505,3933.120302
149,3869.949229,3898.628778,3927.455666
150,3873.064971,3902.582249,3932.25545
151,3872.664815,3902.765873,3933.02905
152,3872.499059,3903.327181,3934.325329
153,3865.68538,3897.155139,3928.802635
154,3859.228591,3891.11009,3923.174355
155,3856.284994,3888.64588,3921.195222
156,3851.703239,3884.674587,3917.841873
157,3845.252017,3878.633527,3912.216183
158,3838.647746,3872.531757,3906.623341
159,3830.802924,3865.368348,3900.150203
160,3823.661652,3858.771098,3894.104197
161,3815.129334,3851.05335,3887.21201
162,3832.675634,3869.076449,3905.717818
163,3844.085205,3881.110748,3918.385153
164,3839.426198,3877.20159,3915.236394
165,3835.233797,3873.667847,3912.370766
166,3831.817877,3871.009703,3910.481467
167,3826.30588,3866.474208,3906.937094
168,3861.575408,3902.749111,3944.231696
169,3863.705579,3905.826498,3948.270044
170,3857.327659,3899.904599,3942.811668
171,3850.172327,3893.292643,3936.752156
172,3842.086229,3885.929742,3930.12464
173,3833.772563,3878.382846,3923.357605
174,3827.328469,3872.343796,3917.730612
175,3820.189035,3865.74358,3911.679009
