Year,CWWCWW GM,CWWSSS GM,SSSSC GM,S GM
1960,603.7477732,375.1538866,226.3710889,146.56
1961,539.3348593,392.9574296,295.8966404,246.58
1962,627.3217154,437.5358577,315.0988187,247.75
1963,609.8914782,397.4157391,249.9819169,184.94
1964,637.431749,420.2508745,283.5316073,203.07
1965,288.6077192,181.8788596,108.0804779,75.15
1966,602.0934509,409.8767255,280.5906646,217.66
1967,206.057415,135.4637075,79.19746897,64.87
1968,606.904349,314.6571745,124.9452429,22.41
1969,620.3146715,431.5673357,307.8389838,242.82
1970,586.3027616,421.3763808,312.4603493,256.45
1971,254.1578278,245.5989139,222.859312,237.04
1972,184.2339167,207.4619583,211.8728598,230.69
1973,627.6054182,414.9227091,277.3606066,202.24
1974,494.4477572,360.0588786,259.3705852,225.67
1975,509.6709193,335.6504597,222.3947362,161.63
1976,413.1027728,319.7763864,263.4655469,226.45
1977,62.80301013,132.9565051,173.0706803,203.11
1978,617.2348117,364.5374059,195.5933857,111.84
1979,254.2887349,242.1443674,218.0688747,230
1980,519.1628983,289.9364492,137.191085,60.71
1981,651.3271911,360.4135956,175.3104916,69.5
1982,-149.9271272,-103.3085636,-77.68354672,-56.69
1983,581.7373903,303.9336951,123.8724339,26.13
1984,544.7918163,393.9959081,289.88844,243.2
1985,596.521935,400.1909675,273.01387,203.86
1986,563.7683565,406.5041783,301.5654092,249.24
1987,398.5732006,300.0266003,223.9241818,201.48
1988,621.128633,400.0843165,257.1291156,179.04
1989,541.3382776,398.7341388,298.3282588,256.13
1990,669.6894307,445.7147154,298.1224502,221.74
1991,590.4535839,325.6517919,151.0705867,60.85
1992,631.8389505,430.8044753,294.8781737,229.77
1993,572.294093,420.9770465,316.0321315,269.66
1994,-6.799233419,87.95538329,135.9481791,182.71
1995,674.6863656,343.3381828,138.0012258,11.99
1996,595.9204104,405.4452052,271.4191779,214.97
1997,189.5492493,193.1946247,182.9972673,196.84
1998,548.251864,356.930932,228.1344499,165.61
1999,586.1764866,419.5932433,306.7493059,253.01
2000,617.3774349,433.6337174,313.5066183,249.89
2001,522.3251957,383.9275979,290.1429997,245.53
2002,14.99006884,112.3300344,166.1759543,209.67
2003,578.2197905,312.4498953,143.4537512,46.68
2004,336.0312535,160.1256268,45.40808402,-15.78
2005,689.3441209,369.6670604,166.3884558,49.99
2006,-115.7503572,-91.43517858,-64.78519104,-67.12
2007,89.06949906,14.09474953,-45.36558027,-60.88
2008,96.92569497,152.1578475,169.7311527,207.39
2009,365.4821516,295.5810758,239.1539313,225.68
