Year,N Burn,N Bash,W Burn,W Bash
1990.405479,195.9425,226.5075,429.4,476.8
1990.810959,78.1425,120,,
1991.016438,92.96,114.1833333,276.1,297.8
1991.424658,145.83,157.6,,
1991.791781,226.335,206.755,,
1991.975342,150.25,168.6675,,
1992.401639,264.3375,296.1625,367.5,361.9
1993.046575,87.9925,104.5975,310.9,374.9
1994.49589,183.485,216.385,333,408
1994.890411,150.3475,137.865,260.2,259.2
1996.442623,316.61,323.3225,334.5,339.1
1997.035616,137.585,94.59916667,,
1999.013699,,,284.2,306.3
1999.509589,248.4025,260.825,406.2,424.2
1999.953425,78.3125,119.3175,375.9,411.4
2000.379781,215,171.4475,404.5,434.5
2000.967213,69.43,84.385,333.8,330.7
2001.364384,139.8525,147.52,365.5,393.2
2001.961644,70.625,58.27,,
2002.367123,148.39,155.9975,378.3,371.8
2002.956164,60.7775,69.47,,
2004.248634,204.7525,188.605,,
2004.327869,,,272.3,316.8
2009.287671,209.9325,226.445,306.9,318.2
2010.243836,231.0825,257.8575,400.8,415.5
2011.358904,163.035,137.03,397.5,403.9
2015.20274,174.5925,207.0175,,
2017.29863,142.665,143.0225,336.175,356.55
2018.183562,,,377.775,344.75
2019.161644,146.5525,167.23875,349.225,296.175
