Year,Burn,Bash
1990.405479,195.9425,226.5075
1990.810959,78.1425,120
1991.016438,92.96,114.1833333
1991.424658,145.83,157.6
1991.791781,226.335,206.755
1991.975342,150.25,168.6675
1992.401639,264.3375,296.1625
1993.046575,87.9925,104.5975
1994.49589,183.485,216.385
1994.890411,150.3475,137.865
1996.442623,316.61,323.3225
1997.035616,137.585,94.59916667
1999.509589,248.4025,260.825
1999.953425,78.3125,119.3175
2000.379781,215,171.4475
2000.967213,69.43,84.385
2001.364384,139.8525,147.52
2001.961644,70.625,58.27
2002.367123,148.39,155.9975
2002.956164,60.7775,69.47
2004.248634,204.7525,188.605
2009.287671,209.9325,226.445
2010.243836,231.0825,257.8575
2011.358904,163.035,137.03
2015.20274,174.5925,207.0175
2017.29863,142.665,143.0225
2019.161644,146.5525,167.23875
