Year,Plt 1-2 WF W,Plt 3-4 WPe W,Plt 3-4 WPe Pe,Plt 5-7 WPF W,Plt 5-7 WPF P,Plt 8-10 WOF W,Plt 8-10 WOF O,Plt 11-16 WWPPPP W,Plt 11-16 WWPPPP P,Plt 17 W W,Plt 18-20 WPP W,Plt 18-20 WPP P,Plt 21-23 WBPe W,Plt 21-23 WBPe B,Plt 21-23 WBPe Pe,Plt 24-27 WOPF W,Plt 24-27 WOPF O,Plt 24-27 WOPF P,Plt 28-29 P P,Plt 30-33 WPPF W,Plt 30-33 WPPF P,Plt 34-35 WF W,Annual Rain,Apr-Oct Rain,Plt 1 WF Carbon,Plt 10 WOF Carbon,Plt 13 WWPPPP Carbon,Plt 17 W Carbon,Plt 29 P Carbon
1925,2464,2654,746,2681,,2468,5383,,,2504,,,2501,6045,800,3002,5717,,,,,2818,619.6,512.1,,,,,
1926,2965,1102,2937,2664,,2675,4523,,,1520,,,3024,4321,1257,2876,4439,,,,,2670,738.3,637.6,,,,,
1927,2381,2486,168,2664,,2668,3568,,,2018,,,2977,4146,276,3152,3212,,,,,2891,567.4,419,,,,,
1928,2044,1450,1794,1891,,1913,4822,,,1796,,,1858,4648,2140,2066,4363,,,,,1926,623.7,486,,,,,
1929,3287,2619,1399,3422,,3348,5063,,,1824,,,2987,4111,1839,3818,5268,,,,,3620,557.1,401.2,,,,,
1930,2848,1266,2854,3099,,2948,4598,,,1228,,,2959,4210,1689,3238,5421,,,,,3130,563.9,515.2,,,,,
1931,1439,1262,988,1547,,1650,3111,,,872,,,1486,2740,1991,2101,3734,,,,,1785,700.7,607.3,,,,,
1932,1667,2285,1601,2442,,1866,4075,,,856,,,2356,2592,2850,2515,4866,,,,,1891,756.7,646.3,,,,,
1933,2675,1702,1864,2992,,3009,2382,,,599,,,2242,1851,1764,3328,2734,,,,,2848,687,589.1,,,,,
1934,3076,839,1568,3213,,3552,3128,,,644,,,2033,2578,1897,3908,3272,,,,,3099,596,416.5,,,,,
1935,1404,685,450,2282,,1672,91,,,97,,,931,1373,1674,2822,2884,,,,,2349,670,536.3,,,,,
1936,2523,1152,1144,3143,,2736,1699,,,569,,,1646,2423,1905,3732,2476,,,,,2589,527.1,408.6,,,,,
1937,2122,2046,1764,2510,,2795,2611,,,1609,,,2587,3566,2113,3085,3998,,,,,2742,660.9,448.8,,,,,
1938,1898,653,1792,2236,,2116,2535,,,762,,,2230,2562,1724,2516,3134,,,,,1975,579.2,477.1,,,,,
1939,2216,1460,2206,2655,,1912,3328,,,623,,,1959,3651,2978,3017,5063,,,,,2782,746.6,513,,,,,
1940,2366,1097,1326,2539,,2462,2317,,,675,,,2091,1564,1325,2972,2738,,,,,2063,490.5,346,,,,,
1941,2532,2376,2611,2813,,2718,4074,,,1420,,,2977,4052,3277,2738,5273,,,,,2962,639.6,449.4,,,,,
1942,2033,1594,2009,2332,,983,89,,,260,,,2214,1247,2833,2142,224,,,,,2033,784.7,681.4,,,,,
1943,3222,2183,1856,4123,,2521,2272,,,1545,,,3787,2990,2594,4726,3053,,,,,3647,583.8,440.2,,,,,
1944,1884,1855,1054,2561,,2541,1765,,,725,,,2085,1798,1476,2888,2313,,,,,1957,463.8,335.9,,,,,
1945,3024,1636,1348,3956,,3707,3996,,,466,,,2300,2455,2174,4246,4016,,,,,2747,576.7,400.6,,,,,
1946,2201,1196,978,2545,,1676,,,,789,,,2118,1794,1934,2355,2602,,,,,2691,745.9,448.6,,,,,
1947,1072,788,1572,1652,,1344,2908,,,846,,,1658,4153,2547,2116,5303,,,,,1449,686.8,481.3,,,,,
1948,1197,1630,527,2376,,2489,1213,,,1007,,,1549,,,2931,1251,,,,,1834,611,505.3,,,,,
1949,2168,2134,,3569,,2942,2276,,,608,,,,,3216,4441,2433,,,,,2583,554,408.1,,,,,
1950,2001,407,1282,3355,3813,2472,579,,7635.25,600,,,,3034,2807,3484,2602,4050,,2903,7531,2348,564.7,482.8,,,,,
1951,210,210,745,666,3100,,,1458,12463.25,600,1297,8136,1685,553,1146,777,,3448,3499,3041,3047.5,737,796.3,668.7,,,,,
1952,925,2365,,1922,5699,1472,2292,2771,8758,1667,3454,4273.5,2580,2238,1633,2527,2097,3815,9703,3459,6106.5,1341,675.2,473.6,,,,,
1953,760,786,67,847,2599,1149,181,1032.5,7807.5,40,1969,5084,1230,645,148,2137,672,2786,11410,1971,7419,538,664.8,518.4,,,,,
1954,1305,1243,1230,2374,4368,2144,2762,1102.5,10239,1123,2507,3797.5,1794,1351,860,3535,2628,3402,13807,2784,8667.5,1365,537.6,442.8,,,,,
1955,592,538,477,968,1544,396,1660,491,10719.75,263,1418,5472.5,860,1122,732,1956,2218,3389,14699,1421,8893.5,1419,788.5,622.7,,,,,
1956,547,652,464,1215,1694,995,974,1441,8190.25,537,1626,4261.5,1835,1284,1257,1438,1814,2586,16117,1626,6056,666,794.3,682.6,,,,,
1957,1561,1277,638,2656,1719,2164,1391,576,5403.75,397,1566,1813.5,2580,1754,1129,3286,2533,2109,8273,4004,4355,2417,477.6,401.5,,,,,
1958,1976,1841,2103,3616,4619,3011,1969,1675,7515.25,690,2379,5328.5,3165,1700,2285,3750,2224,6164,14824,3315,9527,2323,585.6,532.2,,,,,
1959,253,242,34,414,1443,464,356,192.5,2808.25,57,444,1336,497,484,181,712,591,1117,3966,573,2071,246,355.2,204.4,,,,,
1960,1566,1425,611,2380,8045,1808,3246,2223,10525.25,1488,2977,10450,2211,3152,914,3488,3958,4005,20597,3293,12232.5,1600,680.9,508.2,,,,,
1961,424,995,611,753,2372,900,605,1063,11786,404,1431,7092.5,1579,1895,759,1384,2137,4493,12866,1338,10418.5,747,497.1,441.5,,,,,
