Year,Open,High,Low,Close,Day
2025.991781,88.01,88.47,87.25,87.46,1820
2025.989041,88.54,88.59,87.74,88.01,1819
2025.986301,88.54,88.59,87.74,88.01,1818
2025.983562,88.54,88.59,87.74,88.01,1817
2025.980822,88.54,88.59,87.74,88.01,1816
2025.978082,88.54,88.59,87.74,88.01,1815
2025.975342,87.48,88.88,87.48,88.54,1814
2025.972603,87.05,87.95,86.71,87.48,1813
2025.969863,86.48,87.29,86.08,87.05,1812
2025.967123,86.48,87.29,86.08,87.05,1811
2025.964384,86.48,87.29,86.08,87.05,1810
2025.961644,86.8,87.14,85.56,86.48,1809
2025.958904,87.36,88.49,86.45,86.8,1808
2025.956164,87.28,87.98,86.95,87.36,1807
2025.953425,83.79,85.51,83.67,85,1806
2025.950685,83.9,84.4,83.4,83.79,1805
2025.947945,83.9,84.4,83.4,83.79,1804
2025.945205,83.9,84.4,83.4,83.79,1803
2025.942466,82.42,84.4,82.72,83.9,1802
2025.939726,82.85,82.9,81.92,82.42,1801
2025.936986,81.98,82.95,81.88,82.85,1800
2025.934247,81.98,82.58,81.66,81.98,1799
2025.931507,82.43,82.74,81.61,81.98,1798
2025.928767,82.43,82.74,81.61,81.98,1797
2025.926027,82.43,82.74,81.61,81.98,1796
2025.923288,81.79,82.68,81.28,82.43,1795
2025.920548,81.82,82.36,81.22,81.79,1794
2025.917808,82.64,82.56,81.51,81.82,1793
2025.915068,83.26,83.37,82.53,82.64,1792
2025.912329,82.21,83.32,82.26,83.26,1791
2025.906849,82.21,83.32,82.26,83.26,1789
2025.90411,81.68,82.52,81.01,82.21,1788
2025.90137,81.87,82.34,81.3,81.68,1787
2025.89863,80.61,82.2,80.49,81.87,1786
2025.89589,80.41,80.9,79.57,80.61,1785
2025.893151,81.36,81,80.04,80.41,1784
2025.890411,81.36,81,80.04,80.41,1783
2025.887671,81.36,81,80.04,80.41,1782
2025.884932,80.66,81.89,80.66,81.36,1781
2025.882192,81.22,81.59,80.2,80.66,1780
2025.879452,79.92,81.45,79.52,81.22,1779
2025.876712,80.93,81.45,79.78,79.92,1778
2025.873973,81.34,81.75,80.44,80.93,1777
2025.871233,81.34,81.75,80.44,80.93,1776
2025.868493,81.34,81.75,80.44,80.93,1775
2025.865753,81.91,82.79,80.92,81.34,1774
2025.863014,80.65,82.37,80.79,81.91,1773
2025.860274,79.96,80.9,79.5,80.65,1772
2025.857534,79.47,80.35,78.91,79.96,1771
2025.854795,80.17,80.68,79.42,79.47,1770
2025.852055,80.17,80.68,79.42,79.47,1769
2025.849315,80.17,80.68,79.42,79.47,1768
2025.846575,81.49,81.24,80.12,80.17,1767
2025.843836,82.31,82.23,80.89,81.49,1766
2025.841096,81.2,82.41,81.06,82.31,1765
2025.838356,78.54,81.75,78.78,81.2,1764
2025.835616,78.67,79.13,78.01,78.54,1763
2025.832877,78.67,79.13,78.01,78.54,1762
2025.830137,78.67,79.13,78.01,78.54,1761
2025.827397,78.81,79.54,78.54,78.67,1760
2025.824658,78.32,79.13,78.18,78.81,1759
2025.821918,77.77,78.88,77.5,78.32,1758
2025.819178,78.32,78.3,77.01,77.77,1757
2025.816438,78.46,79.19,78.02,78.44,1756
2025.808219,78.46,79.19,78.02,78.44,1753
2025.805479,79.82,79.99,78.92,79.58,1752
2025.80274,79.82,79.99,78.92,79.58,1751
2025.8,79.46,79.96,78.65,79.82,1750
2025.79726,79.51,79.9,78.12,79.46,1749
2025.794521,79.51,79.9,78.12,79.46,1748
2025.791781,79.51,79.9,78.12,79.46,1747
2025.789041,77.88,79.69,77.61,79.51,1746
2025.786301,76.92,78.3,76.68,77.88,1745
2025.783562,78.12,77.9,76.69,76.92,1744
2025.780822,79.68,79.74,77.76,78.12,1743
2025.778082,79.23,80.37,79.01,79.68,1742
2025.775342,79.23,80.37,79.01,79.68,1741
2025.772603,79.23,80.37,79.01,79.68,1740
2025.769863,79.01,79.54,78.04,79.23,1739
2025.767123,78.31,79.29,77.9,79.01,1738
2025.764384,78.75,79.13,78,78.31,1737
2025.761644,79.16,80.11,78.61,78.75,1736
2025.758904,77.43,79.55,77.52,79.16,1735
2025.756164,77.43,79.55,77.52,79.16,1734
2025.753425,77.43,79.55,77.52,79.16,1733
2025.750685,76.33,77.8,76.11,77.43,1732
2025.747945,76.79,76.8,75.57,75.72,1731
2025.745205,76.79,76.8,75.57,75.72,1730
2025.742466,75.98,76.97,75.06,76.79,1729
2025.739726,75.76,76.1,75.1,75.98,1728
2025.736986,75.76,76.1,75.1,75.98,1727
2025.734247,75.76,76.1,75.1,75.98,1726
2025.731507,76.02,76.59,75.36,75.76,1725
2025.728767,76.79,76.78,75.77,76.02,1724
2025.726027,76.21,77.25,75.77,76.79,1723
2025.723288,77.55,77.69,75.91,76.21,1722
2025.720548,77.84,77.75,77.01,77.55,1721
2025.717808,77.84,77.75,77.01,77.55,1720
2025.715068,77.84,77.75,77.01,77.55,1719
2025.712329,76.98,78.23,76.83,77.84,1718
2025.709589,77.51,78.45,76.69,76.98,1717
2025.706849,76.75,78.26,76.49,77.51,1716
2025.70411,75.77,77.06,75.11,76.75,1715
2025.70137,75.54,76.03,75.1,75.77,1714
2025.69863,75.54,76.03,75.1,75.77,1713
2025.69589,75.54,76.03,75.1,75.77,1712
2025.693151,77.1,77.3,75.3,75.54,1711
2025.690411,76.9,77.58,76.25,77.1,1710
2025.687671,77.17,77.23,76,76.9,1709
2025.684932,76.04,77.32,75.5,77.17,1708
2025.682192,75.44,76.25,75.29,76.04,1707
2025.679452,75.44,76.25,75.29,76.04,1706
2025.676712,75.44,76.25,75.29,76.04,1705
2025.673973,74.95,75.71,74.58,75.44,1704
2025.671233,73.61,75.05,73.42,74.95,1703
2025.668493,73.97,74.44,73.36,73.61,1702
2025.665753,72.99,74.55,72.78,73.97,1701
2025.663014,71.72,73.05,71.6,72.99,1700
2025.660274,71.72,73.05,71.6,72.99,1699
2025.657534,71.72,73.05,71.6,72.99,1698
2025.654795,72.24,72.34,71.31,71.72,1697
2025.652055,72.75,73.3,71.93,72.24,1696
2025.649315,72.19,72.98,71.58,72.75,1695
2025.646575,72.53,72.6,71.82,72.19,1694
2025.643836,72.62,72.8,72.26,72.53,1693
2025.641096,72.62,72.8,72.26,72.53,1692
2025.638356,72.62,72.8,72.26,72.53,1691
2025.635616,71.29,72.76,71.06,72.62,1690
2025.632877,71.16,71.54,70.65,71.29,1689
2025.630137,71.82,72.08,71.03,71.16,1688
2025.627397,70.68,71.99,70.3,71.82,1687
2025.624658,70.96,71.31,70.28,70.68,1686
2025.621918,70.96,71.31,70.28,70.68,1685
2025.619178,70.96,71.31,70.28,70.68,1684
2025.616438,71.74,71.88,70.57,70.96,1683
2025.613699,71.5,72.15,71.26,71.74,1682
2025.605479,71.77,73.35,71.8,73.21,1679
2025.60274,71.77,73.35,71.8,73.21,1678
2025.59726,70.99,72.01,70.3,71.77,1676
2025.594521,70.85,71.74,70.5,71.59,1675
2025.591781,71.04,71.33,70.15,70.85,1674
2025.589041,72.66,72.43,71,71.04,1673
2025.586301,72.66,72.43,71,71.04,1672
2025.583562,72.66,72.43,71,71.04,1671
2025.580822,72.86,73.07,72.22,72.66,1670
2025.578082,73.08,73.35,72.52,72.86,1669
2025.575342,73.08,73.35,72.52,72.86,1668
2025.572603,71.34,72.25,70.06,70.65,1667
2025.569863,70.88,71.5,70.64,71.34,1666
2025.567123,70.88,71.5,70.64,71.34,1665
2025.558904,69.36,71.18,69.23,70.88,1662
2025.556164,69.83,69.91,68.86,69.11,1661
2025.553425,69.89,70.55,69.72,69.83,1660
2025.550685,70.55,71.03,69.84,69.89,1659
2025.547945,70.55,71.03,69.84,69.89,1658
2025.542466,71.31,71.39,70.32,70.55,1656
2025.539726,71.31,71.39,70.32,70.55,1655
2025.536986,70.42,71.65,69.99,71.51,1654
2025.534247,70.42,71.65,69.99,71.51,1653
2025.531507,70.74,71,69.64,70.55,1652
2025.528767,70.74,71,69.64,70.55,1651
2025.526027,70.74,71,69.64,70.55,1650
2025.523288,70.74,71,69.64,70.55,1649
2025.520548,70.39,71.55,70.31,70.74,1648
2025.517808,70.42,71.08,69.89,70.39,1647
2025.515068,71.2,71.46,70.28,70.42,1646
2025.512329,71.67,71.99,70.62,71.2,1645
2025.509589,72.06,72.32,71.25,71.67,1644
2025.506849,72.06,72.32,71.25,71.67,1643
2025.50411,72.06,72.32,71.25,71.67,1642
2025.50137,71.93,72.79,71.06,72.06,1641
2025.49863,70.58,72.29,70.55,71.93,1640
2025.49589,70.96,71.08,68.71,68.97,1639
2025.493151,70.96,71.08,68.71,68.97,1638
2025.490411,70.4,71.14,70.11,70.96,1637
2025.487671,70.4,71.14,70.11,70.96,1636
2025.484932,70.4,71.14,70.11,70.96,1635
2025.482192,71.15,71.5,70.26,70.4,1634
2025.479452,73.54,73.4,70.96,71.15,1633
2025.476712,73.27,74.57,72.6,73.54,1632
2025.473973,72.97,73.5,72.43,73.27,1631
2025.471233,72.74,73.37,72.08,72.97,1630
2025.468493,72.74,73.37,72.08,72.97,1629
2025.465753,72.74,73.37,72.08,72.97,1628
2025.463014,74.61,75.03,71.73,72.74,1627
2025.460274,74.64,75.26,74.19,74.61,1626
2025.457534,75.34,75.66,74.16,74.64,1625
2025.454795,75.94,76.47,74.69,75.34,1624
2025.452055,75.39,76.75,75.58,75.94,1623
2025.449315,75.39,76.75,75.58,75.94,1622
2025.446575,75.39,76.75,75.58,75.94,1621
2025.443836,74.36,75.8,73.32,75.39,1620
2025.441096,72.66,74.95,72.78,74.36,1619
2025.438356,74.23,74.28,72.31,72.66,1618
2025.435616,73.5,74.94,73.24,74.23,1617
2025.432877,72.74,73.95,72.57,73.5,1616
2025.430137,72.74,73.95,72.57,73.5,1615
2025.427397,72.74,73.95,72.57,73.5,1614
2025.424658,72.61,74.04,72.32,72.74,1613
2025.421918,72.6,73.57,72.22,72.61,1612
2025.419178,70.91,72.86,70.68,72.6,1611
2025.416438,70.41,72.14,70.01,70.91,1610
2025.413699,70.94,71.69,70.13,70.41,1609
2025.410959,70.94,71.69,70.13,70.41,1608
2025.408219,70.94,71.69,70.13,70.41,1607
2025.405479,72.07,73.48,70.65,70.94,1606
2025.40274,71.76,72.65,70.77,72.07,1605
2025.4,73.03,73.09,70.8,71.76,1604
2025.39726,71.56,73.37,72,73.03,1603
2025.394521,72.15,73,70,71.56,1602
2025.391781,72.15,73,70,71.56,1601
2025.389041,72.15,73,70,71.56,1600
2025.386301,72.74,73.63,71.75,72.15,1599
2025.383562,73.18,73.87,72.3,72.74,1598
2025.380822,70.42,73.51,69.73,73.18,1597
2025.378082,70.99,72.46,69.6,70.42,1596
2025.375342,73.41,75.02,70.81,70.99,1595
2025.372603,73.41,75.02,70.81,70.99,1594
2025.369863,73.41,75.02,70.81,70.99,1593
2025.367123,72.33,73.7,71.2,73.41,1592
2025.364384,72.9,73.63,71.55,72.33,1591
2025.361644,73.41,73.82,71.9,72.9,1590
2025.358904,70.39,73.63,70.52,73.41,1589
2025.356164,70.72,71.49,69.82,70.39,1588
2025.353425,70.72,71.49,69.82,70.39,1587
2025.350685,70.72,71.49,69.82,70.39,1586
2025.347945,71.06,71.76,70.4,70.72,1585
2025.345205,69.27,71.4,69.05,71.06,1584
2025.342466,67.47,69.68,67.45,69.27,1583
2025.339726,68.76,68.73,66.7,67.47,1582
2025.336986,67.02,69.27,66.78,68.76,1581
2025.334247,67.02,69.27,66.78,68.76,1580
2025.331507,67.02,69.27,66.78,68.76,1579
2025.328767,66.55,67.35,66.24,67.02,1578
2025.326027,64.85,66.9,64.52,66.55,1577
2025.323288,65.31,65.4,64.14,64.85,1576
2025.320548,66.43,66.37,64.72,65.31,1575
2025.317808,66.31,67.63,66.24,66.43,1574
2025.315068,66.31,67.63,66.24,66.43,1573
2025.312329,66.31,67.63,66.24,66.43,1572
2025.309589,66.9,66.69,64.75,66.31,1571
