Year,Max
1995,41.1
1995.00274,40.1
1995.005479,40.6
1995.008219,42
1995.010959,38.3
1995.013699,40.2
1995.016438,37.8
1995.019178,38.5
1995.021918,39
1995.024658,39.6
1995.027397,37.5
1995.030137,33.5
1995.032877,33
1995.035616,34.9
1995.038356,34.5
1995.041096,33.4
1995.043836,30.4
1995.046575,30.5
1995.049315,33.4
1995.052055,37.1
1995.054795,36.7
1995.057534,35.9
1995.060274,37.7
1995.063014,38
1995.065753,38
1995.068493,38
1995.071233,38.5
1995.073973,36.4
1995.076712,37
1995.079452,39.4
1995.082192,38.2
1995.084932,40.1
1995.087671,40.7
1995.090411,41
1995.093151,40.6
1995.09589,39.4
1995.09863,26.4
1995.10137,33.1
1995.10411,35
1995.106849,36.9
1995.109589,35.4
1995.112329,35.3
1995.115068,35.2
1995.117808,35.7
1995.120548,36.8
1995.123288,39.1
1995.126027,39.7
1995.128767,37.6
1995.131507,38.6
1995.134247,38.6
1995.136986,38
1995.139726,37.3
1995.142466,36.9
1995.145205,35.4
1995.147945,33.7
1995.150685,32.4
1995.153425,32.5
1995.156164,33.1
1995.158904,34.5
1995.161644,35.4
1995.164384,36
1995.167123,31.7
1995.169863,33
1995.172603,36.1
1995.175342,35.3
1995.178082,33
1995.180822,30.4
1995.183562,32
1995.186301,33.1
1995.189041,35.2
1995.191781,36.1
1995.194521,34.6
1995.19726,33.6
1995.2,28.4
1995.20274,31.6
1995.205479,34.5
1995.208219,34
1995.210959,34.8
1995.213699,34.6
1995.216438,34.9
1995.219178,35.5
1995.221918,36.1
1995.224658,37
1995.227397,35.9
1995.230137,36.3
1995.232877,36.2
1995.235616,33.9
1995.238356,32.5
1995.241096,32.3
1995.243836,32.8
1995.246575,33
1995.249315,32.9
1995.252055,34.2
1995.254795,35.5
1995.257534,35.3
1995.260274,32.4
1995.263014,31.2
1995.265753,30
1995.268493,27.2
1995.271233,30.8
1995.273973,31.2
1995.276712,32.7
1995.279452,34.1
1995.282192,34.8
1995.284932,35
1995.287671,34.6
1995.290411,32.5
1995.293151,33.5
1995.29589,34.2
1995.29863,34.8
1995.30137,34.3
1995.30411,32.1
1995.306849,32.8
1995.309589,32.5
1995.312329,30.7
1995.315068,29
1995.317808,29.6
1995.320548,32.4
1995.323288,33.5
1995.326027,32.1
1995.328767,27
1995.331507,20.4
1995.334247,22.5
1995.336986,20.2
1995.339726,20.9
1995.342466,22.4
1995.345205,25.1
1995.347945,27.5
1995.350685,27.4
1995.353425,28.4
1995.356164,29.7
1995.358904,31.8
1995.361644,33.4
1995.364384,33.4
1995.367123,28.5
1995.369863,18.9
1995.372603,18.4
1995.375342,22.4
1995.378082,24.7
1995.380822,24.4
1995.383562,22.4
1995.386301,22.9
1995.389041,26
1995.391781,28.8
1995.394521,27.4
1995.39726,24.5
1995.4,22.5
1995.40274,23.4
1995.405479,26.1
1995.408219,26.8
1995.410959,26.2
1995.413699,27.1
1995.416438,28.8
1995.419178,29.4
1995.421918,28.1
1995.424658,28.1
1995.427397,29.4
1995.430137,30.1
1995.432877,30.1
1995.435616,30
1995.438356,30.3
1995.441096,26.4
1995.443836,27.2
1995.446575,29.2
1995.449315,30.5
1995.452055,19.7
1995.454795,18.7
1995.457534,18
1995.460274,17.9
1995.463014,18
1995.465753,18
1995.468493,19.8
1995.471233,21.2
1995.473973,21.7
1995.476712,23.5
1995.479452,26
1995.482192,28.6
1995.484932,28.7
1995.487671,24.7
1995.493151,21.2
1995.49589,22.6
1995.49863,19.2
1995.50137,23.7
1995.50411,21.7
1995.506849,18.3
1995.509589,21
1995.512329,22.5
1995.515068,22
1995.517808,24
1995.520548,27.3
1995.523288,27
1995.526027,29.9
1995.528767,32
1995.531507,31.5
1995.534247,32.7
1995.536986,34.7
1995.539726,33.8
1995.542466,26.1
1995.545205,24.3
1995.547945,23.7
1995.550685,28.5
1995.553425,28.3
1995.556164,24.1
1995.558904,22.2
1995.561644,25
1995.564384,28.1
1995.567123,25.1
1995.569863,22.6
1995.572603,22.2
1995.575342,27.2
1995.578082,25.4
1995.580822,24.2
1995.583562,22.4
1995.586301,22.2
1995.589041,23
1995.591781,22.8
1995.594521,20.9
1995.59726,19.7
1995.6,19.6
1995.60274,20.5
1995.605479,22.3
1995.608219,24.2
1995.610959,25.8
1995.613699,26.3
1995.616438,27.4
1995.619178,25.1
1995.621918,26.1
1995.624658,27.4
1995.627397,29
1995.630137,31.9
1995.632877,32.9
1995.635616,34.6
1995.638356,34.3
1995.641096,32.9
1995.643836,31.1
1995.646575,32.2
1995.649315,33
1995.652055,31
1995.654795,30.2
1995.657534,30.6
1995.660274,31.6
1995.663014,33.3
1995.665753,33.9
1995.668493,29.8
1995.671233,33.1
1995.673973,35.2
1995.676712,35.7
1995.679452,27.6
1995.682192,32.3
1995.684932,36.4
1995.687671,37.7
1995.690411,36.8
1995.693151,31.5
1995.69589,31.8
1995.69863,33
1995.70137,34.5
1995.70411,34.4
1995.706849,34.1
1995.709589,31.5
1995.712329,34.9
1995.715068,35.9
1995.717808,36.3
1995.720548,38
1995.723288,36.9
1995.726027,37.1
1995.728767,33.1
1995.731507,27.5
1995.734247,25.5
1995.736986,31.8
1995.739726,33.8
1995.742466,36
1995.745205,36
1995.747945,36.1
1995.750685,30.2
1995.753425,29
1995.756164,30.7
1995.758904,34.5
1995.761644,30.5
1995.764384,35.4
1995.767123,29.4
1995.769863,31.1
1995.772603,33.3
1995.775342,37
1995.778082,38.2
1995.780822,38.6
1995.783562,34.4
1995.786301,33.2
1995.789041,32.8
1995.791781,33.8
1995.794521,34
1995.79726,36.3
1995.8,38.2
1995.80274,29.9
1995.805479,18.5
1995.808219,19.8
1995.810959,22.9
1995.813699,29.7
1995.816438,32.4
1995.819178,34.1
1995.821918,36.4
1995.824658,38.5
1995.827397,38.8
1995.830137,40.6
1995.832877,40
1995.835616,39.9
1995.838356,39.7
1995.841096,35
1995.843836,38.9
1995.846575,38.8
1995.849315,39.8
1995.852055,40.2
1995.854795,40.2
1995.857534,36
1995.860274,33.8
1995.863014,38.1
1995.865753,39
1995.868493,34
1995.871233,30.4
1995.873973,29.9
1995.876712,34.8
1995.879452,36.6
1995.882192,28.3
1995.884932,36.2
1995.887671,36.5
1995.890411,35.6
1995.893151,36
1995.89589,36.4
1995.89863,38.5
1995.90137,39.4
1995.90411,39.2
1995.906849,35.2
1995.909589,39
1995.912329,38.3
1995.915068,38.9
1995.917808,38.8
1995.920548,39.6
1995.923288,37.6
1995.926027,34.1
1995.928767,34
1995.931507,38
1995.934247,39.2
1995.936986,38.3
1995.939726,40
1995.942466,31.7
1995.945205,31.4
1995.947945,35.5
1995.950685,38.5
1995.953425,38.6
1995.956164,40
1995.958904,40.7
1995.961644,40.8
1995.964384,39.8
1995.967123,39.8
1995.972603,39.3
1995.975342,40.7
1995.978082,38.6
1995.980822,39
1995.983562,41
1995.986301,40.7
1995.989041,40.8
1995.991781,37.8
1995.994521,37.8
1995.99726,33.2
1996,33.3
1996.002732,33.8
1996.005464,35.7
1996.008197,36.9
1996.010929,36.1
1996.013661,38.1
1996.016393,40
1996.019126,40.1
1996.021858,39.6
1996.02459,39.2
1996.027322,41.1
1996.030055,42.3
1996.032787,39.9
1996.035519,40.1
1996.038251,38.4
1996.040984,40
1996.043716,40.3
1996.046448,39.6
1996.04918,39.8
1996.051913,39
1996.054645,37
1996.057377,36.9
1996.060109,38.1
1996.062842,38
1996.065574,39.7
1996.068306,40
1996.071038,41.6
1996.07377,41.6
1996.076503,37.4
1996.079235,37.8
1996.081967,37
1996.084699,38.6
1996.087432,34.8
1996.090164,38.6
1996.092896,41.1
1996.095628,40.4
1996.098361,39
1996.101093,38
1996.103825,38.7
1996.106557,35.2
1996.10929,33.3
1996.112022,34.3
1996.114754,36.3
1996.117486,38.2
1996.120219,38
1996.122951,37.2
1996.125683,37.5
1996.128415,39.4
1996.131148,39.9
1996.13388,40.6
1996.136612,40.6
1996.139344,42.9
1996.142077,41
1996.144809,39.4
1996.147541,38.1
1996.150273,39.3
1996.153005,37.9
1996.155738,36.1
1996.15847,33.2
1996.161202,31
1996.163934,26.9
1996.166667,23.6
1996.169399,28.7
1996.172131,29.5
1996.174863,30.7
1996.177596,30
1996.180328,32.5
1996.18306,34
1996.185792,34.9
1996.188525,33.7
1996.191257,35.7
1996.193989,36.5
1996.196721,35.1
1996.199454,32.6
1996.202186,35.1
1996.204918,37.3
1996.20765,33.5
1996.210383,33
1996.213115,33.7
1996.215847,32.7
1996.218579,31.5
1996.221311,31
1996.224044,33.2
1996.226776,35
1996.229508,35.8
1996.23224,35.5
1996.234973,34.6
1996.237705,34.5
1996.240437,35.5
1996.243169,36.4
1996.245902,35.6
1996.248634,35.7
1996.251366,33.7
1996.254098,32.7
1996.256831,34.8
1996.259563,36.1
1996.262295,36
1996.265027,35.5
1996.26776,31.5
1996.270492,21.6
1996.273224,26.4
1996.275956,29.1
1996.278689,32.6
1996.281421,34.5
1996.284153,30.1
1996.286885,29.3
1996.289617,29.6
1996.29235,28
1996.295082,28
1996.297814,28
1996.300546,28.2
1996.303279,30.6
1996.306011,32.5
1996.308743,32.3
1996.311475,32.6
1996.314208,31.8
1996.31694,31.9
1996.319672,33.7
1996.322404,34.1
1996.325137,29.8
1996.327869,28
1996.330601,27
1996.333333,27.2
1996.336066,26.7
1996.338798,27.4
1996.34153,29.2
1996.344262,29.3
1996.346995,27.4
1996.349727,29.9
1996.352459,30.1
1996.355191,30
1996.357923,33
1996.360656,33
1996.363388,29.4
1996.36612,25.1
1996.368852,23.5
1996.371585,24.8
1996.374317,26
1996.377049,28
1996.379781,27.1
1996.382514,23.9
1996.385246,23.2
1996.387978,23.4
1996.39071,24.2
1996.393443,25.1
1996.396175,27.9
1996.398907,30.3
1996.401639,30.6
1996.404372,29.9
1996.407104,26.4
1996.409836,26.7
1996.412568,29.4
1996.415301,29.9
1996.418033,30.1
1996.420765,30.4
1996.423497,30.8
1996.42623,29.3
1996.428962,27.8
1996.431694,25.4
1996.434426,23.4
1996.437158,26.6
1996.439891,25.9
1996.442623,24.3
1996.445355,24.8
1996.448087,25.2
1996.45082,26.1
1996.453552,24.7
1996.456284,25.3
1996.459016,27.5
1996.461749,28.4
1996.464481,30.5
1996.467213,31.7
1996.469945,32.6
1996.472678,32.4
1996.47541,27.4
1996.478142,30.6
1996.480874,31.9
1996.483607,30.1
1996.486339,30.9
1996.489071,32.2
1996.491803,32.3
1996.494536,30.1
1996.497268,30.5
1996.5,28.5
1996.502732,28.5
1996.505464,28.6
1996.508197,27.1
1996.510929,24
1996.513661,23.3
1996.516393,23.2
1996.519126,23.5
1996.521858,23.6
1996.52459,22.7
1996.527322,22.6
1996.530055,19.7
1996.532787,21.9
1996.535519,22.6
1996.538251,25.1
1996.540984,30.4
1996.543716,33
1996.546448,33.4
1996.54918,28.4
1996.551913,25.5
1996.554645,29.4
1996.557377,31.9
1996.560109,32.9
1996.562842,27.5
1996.565574,20.7
1996.568306,21.3
1996.571038,23.5
1996.57377,25.4
1996.576503,25.4
1996.579235,27.7
1996.581967,30.2
1996.587432,30.6
1996.590164,31.3
1996.592896,31.3
1996.595628,32.8
1996.598361,24.6
1996.601093,15.7
1996.603825,20.7
1996.606557,22.2
1996.60929,24.6
1996.612022,26.5
1996.614754,29.3
1996.617486,30.4
1996.620219,32.5
1996.622951,31.1
1996.625683,27.6
1996.628415,26
1996.631148,20.4
1996.63388,21.1
1996.636612,24.4
1996.639344,28.4
1996.642077,30.3
1996.644809,31.3
1996.647541,32.2
1996.650273,33.5
1996.653005,34
1996.655738,34.7
1996.65847,31.2
