Day,All,Blue Mtns,Nepean,Avon,Wingecarribee,Cordeaux,Cataract,Warragamba,Woronora,Prospect,Tallowa,Fitzroy Falls,Year
0,2558.671,3.262,67.73,146.7,20.598,92.55,89.021,2027,65.428,30.514,7.5,8.368,2015.580822
31,2521.434,3.056,66.217,142.144,22.008,90.702,87.157,2002.437,63.058,29.308,7.5,7.847,2015.665753
61,2485.185,2.915,62.261,138.927,22.138,89.789,86.386,1977.345,60.538,29.208,7.5,8.178,2015.747945
92,2458.292,3.08,58.836,136.675,21.921,89.033,86.771,1957.979,59.678,29.208,7.5,7.611,2015.832877
122,2399.741,2.984,57.076,133.235,18.687,84.313,84.472,1918.872,58.309,30.009,4.22,7.564,2015.915068
153,2404.75,2.361,58.094,136.267,16.161,82.878,85.925,1917.396,59.382,31.175,7.5,7.611,2016
184,2359.874,3.09,57.104,134.849,13.825,80.062,84.778,1886.663,57.988,28.96,5.79,6.765,2016.084699
213,2303.482,3.012,55.654,131.732,13.214,78,83.56,1842.528,56.674,27.946,5.79,5.372,2016.163934
244,2250.805,2.957,53.981,128.943,12.784,75.71,81.078,1801.802,55.879,28.663,6,3.008,2016.248634
274,2195.181,2.831,52.551,125.267,12.211,72.565,77.531,1762.085,54.457,28.22,5.93,1.533,2016.330601
305,2538.181,3.125,66.123,146.379,18.156,90.855,94.321,2008.362,68.886,30.615,7.5,3.859,2016.415301
335,2534.677,3.03,67.002,143.719,20.051,90.245,92.168,2010.995,68.172,25.17,7.5,6.625,2016.497268
366,2473.064,2.958,67.73,136.981,21.063,87.241,91.693,1957.979,67.924,25.743,7.5,6.252,2016.581967
397,2473.454,3.069,67.002,130.634,21.447,84.024,87.157,1966.833,67.427,30.514,7.5,7.847,2016.666667
427,2434.202,3.016,64.511,127.055,21.063,81.954,84.93,1943.221,65.289,28.614,6.56,7.989,2016.748634
458,2383.133,2.911,60.956,123.489,20.387,81.18,82.202,1907.065,63.841,29.458,4.08,7.564,2016.833333
488,2327.41,2.947,56.153,118.229,19.469,78.34,79.591,1870.746,62.145,29.858,3.4,6.532,2016.915301
519,2255.792,2.931,51.038,113.303,18.442,72.758,76.438,1823.084,60.704,30.109,0.64,6.345,2017
550,2210.602,2.93,46.999,112.366,18.156,68.896,76.22,1784.071,59.744,30.059,4.255,6.906,2017.084932
578,2475.84,3.542,67.73,146.7,21.191,89.789,97.19,1931.415,69.353,32.153,7.5,9.277,2017.161644
609,2471.776,3.335,66.217,144.142,21.749,91.009,92.91,1937.318,70.042,29.707,7.5,7.847,2017.246575
639,2430.861,3.05,63.167,140.685,21.835,88.059,90.196,1910.755,68.778,29.01,7.29,8.036,2017.328767
670,2418.857,2.903,62.141,137.798,21.49,88.059,93.821,1898.256,71.3,30.615,7.01,5.464,2017.413699
700,2370.329,2.642,60.049,134.141,21.319,87.686,91.218,1864.234,69.57,30.311,2.44,6.719,2017.49589
731,2328.691,2.583,57.048,130.634,21.191,87.166,89.256,1836.016,67.818,27.4,2.86,6.719,2017.580822
762,2268.07,2.52,53.412,126.358,20.513,79.854,83.107,1799.674,66.265,28.614,0,7.753,2017.665753
792,2214.016,2.553,49.704,122.506,20.009,72.372,76.802,1767.759,64.632,30.514,0.4,6.765,2017.747945
823,2169.05,2.757,48.75,119.577,19.717,70.271,73.704,1734.87,62.584,29.707,0.16,6.953,2017.832877
853,2112.191,2.844,47.933,115.849,18.891,65.606,68.452,1692.483,60.14,29.908,3.32,6.765,2017.915068
884,2038.819,2.829,47.15,111.898,18.035,59.652,60.296,1643.38,57.418,29.258,2.79,6.113,2018
915,1990.043,2.884,46.649,109.283,17.551,52.96,52.095,1607.574,55.666,31.022,7.5,6.859,2018.084932
943,1948.373,3.095,45.979,106.766,17.032,50.636,49.278,1576.295,54.396,30.818,7.5,6.578,2018.161644
974,1889.874,2.978,45.364,103.445,16.279,48.141,46.832,1533.528,52.758,30.261,4.5,5.788,2018.246575
1004,1827.072,2.839,44.682,99.729,15.769,45.544,44.519,1484.981,50.892,29.908,2.93,5.279,2018.328767
1035,1781.846,2.82,41.224,97.412,15.808,44.806,40.904,1451.634,49.606,30.009,3.08,4.543,2018.413699
1065,1727.823,2.759,38.059,94.066,15.42,39.38,36.835,1416.058,46.931,32.101,1.9,4.314,2018.49589
1096,1673.438,2.75,34.391,90.917,14.88,36.274,34.777,1380.706,43.073,30.716,3.08,1.874,2018.580822
1127,1629.926,2.78,34.092,88.488,14.5,33.757,32.244,1348.854,39.989,30.818,1.66,2.744,2018.665753
1157,1609.048,3.035,34.793,86.678,15.847,33.426,31.068,1325.789,39.115,31.585,5.58,2.132,2018.747945
1188,1586.4,3.233,38.49,85.736,16.004,34.395,28.905,1298.2,38.233,30.009,7.5,5.695,2018.832877
1218,1583.082,3.251,46.475,86.421,18.238,34.32,27.872,1287.895,37.866,30.109,4.15,6.485,2018.915068
1249,1544.773,3.234,47.882,88.142,13.936,33.72,26.191,1255.261,36.448,30.971,1.66,7.328,2019
1280,1493.562,3.01,43.626,85.821,14.273,32.912,25.88,1214.528,35.067,30.362,0,8.083,2019.084932
1308,1475.356,3.111,40.252,85.736,14.273,37.743,29.67,1183.714,34.081,31.073,7.43,8.273,2019.161644
1339,1428.276,3.012,37.419,82.67,14.011,37.905,30.014,1145.482,33.053,30.767,5.86,8.083,2019.246575
1369,1376.541,2.681,35.956,79.22,13.464,37.702,28.102,1105.635,31.658,30.412,4.43,7.281,2019.328767
1400,1345.978,2.659,31.431,76.892,13.789,38.27,28.064,1077.767,30.817,31.329,6.64,8.32,2019.413699
1430,1315.049,2.711,30.773,74.011,16.2,38.514,28.523,1053.066,29.972,31.739,1.22,8.32,2019.49589
1461,1292.608,2.735,26.206,72.058,14.842,38.677,27.49,1034.466,28.089,25.876,16.52,5.649,2019.580822
1492,1276.667,2.815,28.745,69.961,13.898,39.089,27.146,1014.444,28.444,26.321,18.24,7.564,2019.665753
1522,1235.247,2.77,36.474,66.937,15.265,36.826,25.914,980.019,27.405,29.657,9.62,4.36,2019.747945
1553,1184.411,2.688,35.977,64.35,12.963,35.962,25.602,942.213,26.534,29.707,0,8.415,2019.832877
1583,1134.04,2.51,28.798,63.651,11.226,35.306,25.013,904.58,25.279,30.16,0,7.517,2019.915068
1614,1092.745,2.6,22.072,65.443,10.007,34.32,25.429,873.65,24.743,28.368,0,6.113,2020
1645,2129.621,3.563,65.035,130.833,17.752,69.331,65.676,1671.955,45.559,29.607,21.8,8.51,2020.084699
1674,2154.299,3.56,58.493,131.332,19.262,70.587,66.953,1697.347,45.794,31.277,21.8,7.894,2020.163934
1705,2141.793,3.459,52.391,128.943,19.097,70.903,67.905,1694.567,45.846,30.21,21.8,6.672,2020.248634
1735,2124.146,3.364,46.949,126.657,19.593,71.475,68.864,1681.481,45.429,30.564,21.45,8.32,2020.330601
1766,2103.696,3.235,44.488,124.081,19.717,69.206,69.485,1669.234,45.014,29.258,21.8,8.178,2020.415301
1796,2186.236,3.387,51.937,125.366,23.057,73.082,79.887,1730.701,51.5,31.688,7.5,8.131,2020.497268
