Day,Open  ,High  ,Low  ,Close   ,Adj Close   ,Volume  ,Year
361,519,524.5,515,516,516,"6,376",2025.484932
360,524.25,527.5,517,518.25,518.25,"19,931",2025.482192
359,535,536.5,522,524.25,524.25,"16,787",2025.479452
358,550.25,551,534.25,534.75,534.75,"20,283",2025.476712
357,563,565.75,549,550,550,"21,290",2025.473973
354,569,575.25,562.5,563.25,563.25,"33,849",2025.465753
352,546,572.5,545.75,571.25,571.25,-,2025.460274
351,537,550,535.75,547.75,547.75,"37,712",2025.457534
350,539,544.25,529,536,536,"32,206",2025.454795
347,522,541.75,517.75,540.75,540.75,"39,304",2025.446575
346,526.25,529.25,521.5,522.75,522.75,"49,790",2025.443836
345,527.25,534.25,523.5,526.25,526.25,"53,042",2025.441096
344,536.25,538.75,525.25,527.25,527.25,"54,549",2025.438356
343,548.75,551,534.25,537.5,537.5,"67,871",2025.435616
340,541.5,550,535.75,549.25,549.25,"48,692",2025.427397
339,540.5,546.75,537.5,542.5,542.5,-,2025.424658
338,536.75,544.75,532.25,540.5,540.5,"41,657",2025.421918
337,539,545,530,536.75,536.75,"39,127",2025.419178
336,532,550.5,531.75,539.75,539.75,"40,471",2025.416438
333,531.25,537.25,530,533.25,533.25,"26,451",2025.408219
332,529,533.25,523.75,531.75,531.75,"26,575",2025.405479
331,527,533.5,523.25,525.25,525.25,"26,429",2025.40274
330,536,539.5,523,524.5,524.5,"29,068",2025.4
326,539,543.5,533.5,538.75,538.75,"23,505",2025.389041
325,539.75,544.75,532.5,540,540,"29,772",2025.386301
324,536,547.75,535.25,540.5,540.5,"33,362",2025.383562
323,524,538.75,523.5,536.25,536.25,"34,710",2025.380822
322,518,529.75,516,522.75,522.75,"33,918",2025.378082
319,528,530.25,516,516.5,516.5,"26,867",2025.369863
318,522.5,529.25,519.25,528.25,528.25,"36,195",2025.367123
317,509.25,509.25,509.25,509.25,509.25,"38,426",2025.364384
316,502,502,502,502,502,3,2025.361644
315,498.25,498.25,498.25,498.25,498.25,3,2025.358904
312,506.5,506.5,506.5,506.5,506.5,30,2025.350685
311,517.75,519.5,513.75,513.75,513.75,10,2025.347945
310,517.5,517.5,517.5,517.5,517.5,-,2025.345205
309,524.75,524.75,524.75,524.75,524.75,-,2025.342466
308,528,528,520,520,520,15,2025.339726
305,525.75,528.5,525.25,528.5,528.5,33,2025.331507
304,517.5,521.75,513,516,516,438,2025.328767
303,513.75,521.25,513.75,514.25,514.25,502,2025.326027
302,524.75,528.5,514,515.25,515.25,"5,571",2025.323288
301,532.75,535,520.75,524.75,524.75,"14,035",2025.320548
298,538.5,544,536.25,538,538,"13,607",2025.312329
297,542.75,542.75,531,537.75,537.75,"16,055",2025.309589
296,546.25,547,537,537.75,537.75,"14,679",2025.306849
295,552.75,555.25,545.25,546,546,"15,388",2025.30411
294,554.75,562,549.75,550.75,550.75,"13,164",2025.30137
290,560,569.25,555.75,557.5,557.5,"15,511",2025.290411
289,553,562.5,548,558,558,"24,508",2025.287671
288,556,557.25,548.25,553,553,"26,653",2025.284932
287,567.5,567.5,552.25,555.25,555.25,"39,580",2025.282192
284,558,575,555.5,568,568,"49,204",2025.273973
283,568,577.25,555.25,558,558,"60,683",2025.271233
282,561.75,572.75,560.5,568,568,"49,563",2025.268493
281,559,567.75,552.75,561.5,561.5,"49,030",2025.265753
280,557.25,572.75,553.75,559.25,559.25,"59,865",2025.263014
277,570,574,550.25,557.5,557.5,"52,018",2025.254795
276,558,572.25,554.75,569,569,"32,330",2025.252055
275,565,572.75,560.75,568.5,568.5,"32,614",2025.249315
274,558.75,565.75,550.25,565.25,565.25,"36,251",2025.246575
273,551,563.25,545.75,557,557,"51,640",2025.243836
270,567,568.5,543.75,551.75,551.75,"41,794",2025.235616
269,566.25,570.25,560,566.25,566.25,"37,359",2025.232877
268,570,572.75,563.25,565,565,"40,096",2025.230137
267,576.25,577,567,569.25,569.25,"29,932",2025.227397
266,590.5,595.25,575,578,578,"27,533",2025.224658
263,587.25,596.25,581.75,588.75,588.75,"23,230",2025.216438
262,597.5,598.25,583,586.5,586.5,"30,595",2025.213699
261,605.5,605.5,591.75,594.75,594.75,"40,271",2025.210959
260,605,617,604,606.25,606.25,"39,557",2025.208219
259,592,609,591,605.5,605.5,"35,204",2025.205479
256,573.5,573.5,573.5,573.5,573.5,"26,435",2025.19726
255,575,575,575,575,575,11,2025.194521
254,561.75,561.75,561.75,561.75,561.75,2,2025.191781
253,558.75,558.75,558.75,558.75,558.75,29,2025.189041
252,565.75,565.75,565.75,565.75,565.75,3,2025.186301
249,546.25,551.25,546.25,551.25,551.25,21,2025.178082
248,551.5,551.5,551.5,551.5,551.5,47,2025.175342
247,542.25,542.25,542.25,542.25,542.25,30,2025.172603
246,544.75,544.75,533.75,534,534,106,2025.169863
