Day,Open  ,High  ,Low  ,Close   ,Adj Close   ,Year
364,0.6534,0.6572,0.6524,0.6533,0.6533,2025.493151
361,0.6548,0.6563,0.6524,0.6546,0.6546,2025.484932
360,0.6521,0.6559,0.6511,0.6523,0.6523,2025.482192
359,0.6495,0.651,0.6486,0.6496,0.6496,2025.479452
358,0.648,0.6518,0.6472,0.6478,0.6478,2025.476712
357,0.6447,0.6447,0.6373,0.6447,0.6447,2025.473973
354,0.6486,0.6496,0.6452,0.6489,0.6489,2025.465753
353,0.6508,0.6511,0.6447,0.6507,0.6507,2025.463014
352,0.6481,0.6524,0.6479,0.648,0.648,2025.460274
351,0.6512,0.6544,0.6503,0.6511,0.6511,2025.457534
350,0.6491,0.6555,0.6467,0.65,0.65,2025.454795
347,0.6528,0.6528,0.646,0.6528,0.6528,2025.446575
346,0.6509,0.6533,0.6478,0.651,0.651,2025.443836
345,0.6529,0.6545,0.6499,0.6527,0.6527,2025.441096
344,0.6517,0.6533,0.6491,0.6518,0.6518,2025.438356
343,0.6499,0.6534,0.6495,0.65,0.65,2025.435616
340,0.6511,0.6518,0.648,0.6511,0.6511,2025.427397
339,0.649,0.6539,0.6487,0.6491,0.6491,2025.424658
338,0.6465,0.6504,0.6452,0.6466,0.6466,2025.421918
337,0.6499,0.6499,0.6449,0.6498,0.6498,2025.419178
336,0.6443,0.65,0.6443,0.6443,0.6443,2025.416438
333,0.6445,0.6452,0.6408,0.6446,0.6446,2025.408219
332,0.6422,0.6461,0.6409,0.6425,0.6425,2025.405479
331,0.6448,0.6456,0.6411,0.6447,0.6447,2025.40274
330,0.6481,0.6497,0.6435,0.6481,0.6481,2025.4
329,0.6503,0.6538,0.6495,0.6501,0.6501,2025.39726
326,0.641,0.6479,0.6409,0.641,0.641,2025.389041
325,0.6433,0.6458,0.6408,0.6433,0.6433,2025.386301
324,0.6426,0.6467,0.6423,0.6426,0.6426,2025.383562
323,0.6456,0.6456,0.6393,0.6456,0.6456,2025.380822
322,0.6412,0.6465,0.6399,0.641,0.641,2025.378082
319,0.6404,0.6438,0.6389,0.6406,0.6406,2025.369863
318,0.6428,0.6455,0.6392,0.6429,0.6429,2025.367123
317,0.6474,0.6501,0.6438,0.6473,0.6473,2025.364384
316,0.6373,0.6474,0.6362,0.6372,0.6372,2025.361644
315,0.642,0.645,0.6365,0.6421,0.6421,2025.358904
312,0.6395,0.643,0.6373,0.6393,0.6393,2025.350685
311,0.6431,0.6465,0.6404,0.6435,0.6435,2025.347945
310,0.6505,0.6511,0.6457,0.6507,0.6507,2025.345205
