tau,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
0,100,100,100,100,100,100,100,100,100,100
1,92.95777802,80.97510672,100.3501302,88.97824567,94.97449761,111.228153,103.8529635,90.23426799,77.23135045,104.188644
2,80.41310951,93.66344165,88.05533922,74.28919809,83.07863882,79.99051652,84.13670726,105.5741479,66.9061517,84.06076399
3,75.05439339,86.53702751,60.50938982,85.24088336,53.65137303,81.50908786,46.39554875,119.8464047,66.52587866,63.8263646
4,81.47239555,65.54925946,54.65536548,85.98344009,29.90479364,81.70465557,47.63744935,108.9840643,76.6040899,69.91893642
5,68.04744906,54.35009692,63.56045139,91.75428893,22.59726773,96.64541955,35.62443683,94.85859581,82.46396272,53.68289136
6,48.3974188,48.99148862,63.44539358,93.65780934,32.64600774,91.04410362,10.43537399,79.83767005,76.44999517,57.75380027
7,50.087883,63.1187462,28.39715698,94.89688671,28.1051402,61.32057655,25.52676967,95.25485772,39.95438487,38.28556584
8,29.29045592,69.38518666,20.33468753,80.63765021,7.007531334,31.90396216,28.84675325,94.28458836,39.4770871,41.74968996
9,14.38872018,71.29460495,21.82459345,77.56075856,12.08277938,35.54272005,16.32168701,61.26553573,27.36551413,43.34436418
10,15.70353753,82.89881954,20.23766048,58.87171946,9.368769512,11.98453221,27.92200297,37.21101008,46.705944,42.60091282
11,1.265963263,66.76317918,17.91031556,45.06410985,17.15978904,20.65958173,5.208103197,34.9966825,60.39189267,8.177389261
12,3.425143853,86.3632676,9.460436298,56.56174109,-13.01226878,6.976329802,16.73303422,44.09136956,38.33853164,2.207357322
13,9.410226135,89.6132602,12.80534212,33.0830514,-29.14138931,17.85152727,11.6761925,44.04546387,37.66095592,-7.676318224
14,8.861882872,101.2631502,26.59341175,40.8671072,-35.34197011,-4.282495051,20.8397269,43.48201078,34.1072203,-34.79206566
15,9.392179457,77.51210643,17.23318557,45.58109159,-41.65194219,-16.46074129,36.63423379,58.58668836,8.362542677,-18.41032979
16,9.160913908,58.08382312,-5.149525574,61.86733587,-27.38912785,-11.00143097,22.91193608,43.77297082,21.76856121,-19.50776966
17,-3.37970412,28.81510864,-9.185823622,38.35746432,-12.1390869,-59.33766442,40.78350234,61.40788662,6.517900191,-21.77483744
18,-18.34114133,11.47420054,-30.12523696,15.78587405,-14.90528979,-72.52955911,55.6961019,63.87884884,10.91925132,-21.84300912
19,-40.4073286,16.35343106,-12.54811968,-21.71611232,-20.74095111,-41.74058272,47.50180894,82.63254729,31.20303268,-30.56671194
20,-50.18800921,19.07450581,10.46237527,-10.3329741,-35.98196053,-40.62146664,35.96325701,103.0273372,24.70231924,-59.63825141
21,-61.90317809,25.19534437,3.015511173,-28.41194588,-52.30765184,-17.63186073,24.14698468,99.2104984,27.69759317,-67.68162947
22,-56.31494167,15.63455051,-11.29203359,-29.19746993,-82.96907827,0.451731067,9.812957299,73.30436302,46.85290999,-62.67601251
23,-53.51339749,30.37407379,-2.080544049,-0.652399892,-76.66906687,-21.41683325,10.15903484,63.07736164,27.03311859,-70.31160606
24,-62.82213449,7.614300753,4.161153222,5.052882526,-68.38124756,-17.40606963,0.154899265,62.81721593,31.98454104,-48.60056457
25,-41.4772421,6.427138956,6.812598292,14.42471315,-55.2041531,4.503184713,5.895253805,99.85817045,19.14268352,-21.0002342
26,-61.75045097,13.10455269,0.07948726,34.18144451,-46.32821562,-13.728776,-9.023375322,93.48462435,22.99063051,-13.67626483
27,-47.16175057,14.68109977,-14.29668858,46.67649922,-35.99295669,-0.028236782,-23.57503501,97.89528282,32.08184928,14.97024338
28,-46.08742003,7.324592345,-17.31652388,74.24425759,-5.348687379,-13.59023206,5.542085742,67.94019329,30.24638006,23.61528161
29,-39.80042794,3.050990092,-15.31587373,47.11170852,-9.312667375,-4.770118659,-22.19834807,54.06461951,21.26657396,29.61347859
30,-8.628202369,-20.0811953,-15.81853045,43.35531658,3.42971171,-3.31425169,-32.61797255,35.62204118,13.91735612,5.922053744
31,-15.82090358,-16.05157181,-15.90926342,20.0416908,0.882741203,17.72429625,-13.81310477,22.08447973,0.299898554,-8.152518541
32,-8.8565757,-25.43023826,-19.97713635,6.104673564,-13.47815322,10.72435808,0.366462081,60.30402709,11.69964006,-10.59086528
33,-15.57859069,-16.94638245,-24.35669562,25.89435019,-0.229882827,7.566069039,-6.122755759,35.75130327,2.083480703,-9.620454801
34,-31.98387867,-33.4133471,-24.19252698,5.998854577,0.786085712,30.97611223,9.487986362,22.75267801,-1.029308976,-22.00117552
35,-62.07493283,-37.56634572,-51.06444327,-5.765768688,28.22511212,4.56776254,9.667159299,23.49383754,9.53768155,-25.90967552
36,-69.86908677,-41.03721079,-44.14721016,-39.12249479,15.12601021,21.00696063,-1.011005432,12.40033699,16.84997416,-29.81207786
37,-84.57929325,-52.25918945,-25.30829993,-31.71737963,3.140564825,13.51639517,-9.892607179,12.48405291,16.2823107,-14.88783309
38,-82.03918217,-62.81180711,-4.752565197,-29.15838617,1.511764051,10.84405629,8.295456502,14.21492186,18.80199738,-7.030601597
39,-61.18821187,-48.53194517,-21.92965996,-16.14874734,8.642636346,2.517297561,29.56314028,7.608974813,32.42349789,-20.88958668
40,-56.62601919,-40.3334538,-38.91183832,1.13979616,0.84104922,1.51867785,28.37872669,23.98725288,24.74159962,2.976791061
41,-44.64004415,-31.57145006,-14.94240235,-4.148098511,-11.71082979,-15.86163878,30.37276406,36.20120185,15.07259622,-9.346703575
42,-16.39639058,3.948295031,-15.8014591,-3.734580258,-1.651725274,6.664430822,63.9768744,8.807223539,14.11706629,-8.892595891
43,-9.615655337,6.802814026,-25.92703339,-10.12048144,-16.38794784,3.556176927,53.9839037,7.407049613,-15.2371034,-23.79496035
44,-6.636937783,-4.251012166,-14.71016845,-22.33028144,-9.011184696,28.4055245,43.64518809,-7.557224189,-30.36256331,-15.45848297
45,-2.603114935,-22.57794996,-20.04024832,-38.96361447,-14.27654815,25.48115791,52.1160084,22.14850597,-33.55451512,9.284802346
46,-13.18490683,-14.55750437,-21.1648384,-42.58061493,-17.12517173,11.75815079,37.38195409,36.35960046,-38.38059868,-8.620039854
47,-3.773015433,-28.27607026,-10.68311205,-33.10786381,-14.86060757,-22.98632808,45.18049923,32.15283567,-38.65287874,3.518941305
48,-16.86015467,-26.03573252,2.285748275,-12.44620413,-2.823677477,-29.3050808,36.10845618,-4.100925928,-27.10871706,15.03485172
49,-12.93951687,-10.90708768,2.853892651,-10.15698592,-5.561552346,-25.32225921,38.90205731,7.631243126,-31.58370109,9.473335905
50,-15.81097727,-15.01761287,17.89035828,-14.57435605,-31.57138299,-3.45542127,21.93159471,28.91114506,-42.76691845,7.315220062
51,-11.47345314,-12.85977476,18.43820921,-15.92236609,-27.64433186,-4.784753495,0.15618078,29.97575395,-35.87059203,4.940031566
52,10.57274332,-6.033702343,11.30070225,-7.13966836,-25.11830301,20.85119262,-25.98287402,34.71377126,-35.38544028,-13.61261322
53,-4.518502088,-15.40187916,14.0421175,10.87732954,-50.26047122,-5.858773366,-27.51108659,28.2768239,-52.22162905,16.18893129
54,-23.56485003,-42.5859814,-11.33151947,19.79610396,-48.85899762,-11.11633414,-44.42018263,26.66412013,-33.41425969,-10.62421401
55,-18.87315218,-48.50090927,0.02685551,39.30915215,-53.39883846,-6.872780817,-49.33594835,-4.985744856,-12.83514719,1.58435916
56,-21.8073138,-18.01898375,-1.661530226,38.65938342,-53.1565488,-15.072262,-72.23171666,-3.723363213,-19.89088975,-15.14151136
57,-32.90961786,-33.00569008,12.86359372,15.73649379,-48.29005881,18.03752732,-65.46071201,-4.056589421,-27.38177497,20.38224565
58,-39.47111341,2.749384119,8.590863169,13.26935679,-33.8628895,5.418614549,-67.39516075,7.404609231,13.4499124,13.32139682
59,-51.74837951,-14.2194884,14.79441211,21.50643035,-45.15727872,4.775982218,-72.107869,-23.94021071,-3.411136949,11.21583757
60,-78.60272108,4.992042433,23.1424892,27.06040142,-55.71597734,0.306908659,-70.27579628,-27.51421457,-6.633698074,-10.44123934
61,-74.15688414,11.41722343,28.34202506,11.93376942,-75.58525877,-6.456945643,-56.05434217,-12.25433907,16.46632926,-27.55450114
62,-73.03504291,8.441524129,45.17031576,35.49302709,-50.98589373,-3.569025711,-53.11023975,-21.05424364,-3.348236203,-16.50900034
63,-60.20580618,9.447914289,23.98061609,33.95688466,-59.08581905,20.19034554,-47.84188291,-12.85465593,5.229780431,-2.325824085
64,-57.07988734,-7.449233183,11.39217158,38.88720093,-22.43797125,34.79717842,-50.0021477,-13.03396056,8.293106779,7.596883909
65,-49.74317523,-11.7825116,10.10753225,15.52972263,-19.65811555,16.98498156,-47.41961362,-18.55678281,34.56811181,6.15997359
66,-33.080236,-36.98929519,-7.360696673,25.84569683,8.626861292,3.878878324,-49.27777254,-8.705506346,39.51010131,-4.830945523
67,-38.64825967,-25.39012171,-18.32230478,10.05074947,-0.77083281,15.90275401,-38.20205898,3.725681053,32.01449353,-1.163610188
68,-36.62965335,-37.20131478,-4.611918033,12.16037089,-33.32012533,32.11372608,-51.71826082,6.480326121,29.49599714,-12.49050018
69,-74.01036875,-41.1162821,3.387518292,29.13967612,-32.29500168,18.81591243,-59.95726557,-6.399460128,52.06262597,10.44267488
70,-71.93953793,-45.34220115,7.736618304,32.58431566,-34.4849866,8.617137034,-59.38075551,-11.09710983,40.85420228,18.68524662
71,-88.30141369,-42.77856352,17.90924007,43.2810175,-35.25805342,-10.67815568,-34.09664295,-5.1447953,48.46813402,-2.278702085
72,-66.38414482,-25.33188648,10.02960718,40.39774724,-23.60361414,5.061941119,-38.12777831,16.03482107,48.27537564,13.65605359
73,-50.33353868,-21.81663665,10.51447507,65.91040006,-22.47882241,-13.35701262,-36.67297804,7.776185841,32.10342819,12.59913385
74,-47.68145157,-17.07514497,12.61361271,92.42578347,-34.23930248,-34.2335168,-25.90282166,6.301476498,29.27043947,28.4542083
