tau,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
0,100,100,100,100,100,100,100,100,100,100
1,92.95777802,91.38406656,100.5366553,81.29642978,94.3465886,78.29697732,105.2022917,97.97994371,101.7532097,90.85649158
2,80.41310951,55.25022821,85.27745916,84.65181501,89.81192687,89.37758223,92.06570221,104.5179254,82.42652204,71.27472112
3,75.05439339,14.73984098,50.73440228,79.33623005,94.02735579,80.28829371,75.44429638,98.67931176,48.69349584,78.05333752
4,81.47239555,21.5150265,29.77406672,63.78221501,70.39518533,76.77898106,55.69463866,115.3762355,53.03919948,71.29538315
5,68.04744906,33.1997993,25.26757249,60.87461602,60.50864998,71.55212811,38.27700132,103.7884537,49.67279761,57.30199993
6,48.3974188,26.87983293,19.15393346,36.48981996,69.92558265,54.8926985,37.36912011,101.2820172,36.79271124,45.97719658
7,50.087883,18.478519,16.61539857,34.20681238,57.93037503,25.15063546,39.42390433,86.78688981,17.70081495,24.74138912
8,29.29045592,20.92308183,0.901326565,39.0028986,52.11229217,9.617999415,39.97965641,87.21443439,11.73238853,25.51300983
9,14.38872018,30.17680514,15.87578891,46.57084287,32.59938728,14.54934251,3.818536923,74.13370641,8.477391284,15.37965752
10,15.70353753,30.14610752,9.938957949,38.65021766,36.31323211,11.4228887,-35.1976369,70.93092441,21.05079985,21.88796143
11,1.265963263,32.30063061,40.54073792,29.54150042,39.60354748,9.572211473,-42.28770927,42.30808994,35.99788937,12.94322123
12,3.425143853,36.0865758,29.75801649,18.14990756,35.79262043,23.67697034,-30.2485504,-1.015663788,52.29941368,-8.333468224
13,9.410226135,63.11845575,7.270551562,19.78374556,31.47568208,-0.044981826,-22.64582628,-6.013855927,70.99777394,-7.460696815
14,8.861882872,50.79527779,-24.11883657,37.46803226,31.48607901,-8.924687354,-54.35142625,-19.73319793,52.23514843,16.46651758
15,9.392179457,26.2292736,-13.90043678,62.77188023,44.457137,11.12627183,-49.77014542,-31.03190646,41.10229474,3.369184166
16,9.160913908,41.68524214,-17.12159476,53.14845716,35.46386801,-2.23974105,-42.86206366,-22.6025422,49.81219313,-6.941754949
17,-3.37970412,40.68776676,-16.10799624,51.18103305,10.47350924,-43.34804911,-45.80289988,-20.82781436,72.30314439,-0.687243211
18,-18.34114133,23.96379304,-24.65838684,28.14757844,12.23320457,-27.76070651,-69.38127037,-9.104431763,60.45192739,-4.72799022
19,-40.4073286,18.09610274,-27.53904847,29.43481233,2.989579819,-25.6403967,-74.21369351,-10.30279117,40.30906741,-13.89459537
20,-50.18800921,-5.933057582,-38.14108892,6.769723759,-11.32861764,-20.5497767,-70.10301789,-15.50986224,51.43296211,-12.09786048
21,-61.90317809,-6.073895592,-34.73779555,25.86998257,-12.32951831,-24.08611551,-71.62038644,-26.12404812,5.583339168,-11.77836466
22,-56.31494167,-9.340923692,-52.77743999,46.91652764,-17.58887066,17.14210842,-69.65386747,-18.07283783,-2.913455417,-11.123692
23,-53.51339749,-24.57395688,-36.67640381,25.17408841,-38.22983827,13.17385134,-57.22275821,-41.23193566,-14.95247914,-20.89581554
24,-62.82213449,-37.22927751,-23.49649775,5.539415687,-51.28769426,9.833109082,-42.42926394,-15.78077499,-44.62042724,-14.25000338
25,-41.4772421,-23.00507353,-28.50726461,16.30708986,-76.32925464,4.552560512,-21.52452653,5.925499637,-34.83865303,-15.91726218
26,-61.75045097,-21.16195613,-16.96762977,27.45260581,-65.9486124,14.95384247,-52.41747472,-21.9398585,-47.2362519,-36.68620667
27,-47.16175057,-18.30919672,-1.144273366,9.055535556,-33.25671261,13.546185,-55.23889158,-31.9149905,-33.79800914,-30.13870526
28,-46.08742003,-15.88103465,4.441288246,3.840331243,-45.07378868,5.989581496,-59.70662782,-25.2471884,-45.92647304,-24.01366181
29,-39.80042794,-5.90490202,4.833676173,-16.06689361,-61.06623854,12.08072835,-61.5359362,-46.46266051,-58.42946492,-46.66177453
30,-8.628202369,6.844207324,-9.25839332,-5.410807709,-42.54340306,12.50261791,-51.19894204,-26.48786505,-48.85610927,-59.66051588
31,-15.82090358,17.01634874,-24.86243419,-8.781048882,-29.1279084,8.663767571,-38.41134756,-33.86994251,-50.80506566,-55.63896575
32,-8.8565757,18.6473674,-26.10534405,-6.658838553,-17.70383344,39.1900335,-33.5709308,-33.16381373,-46.24360342,-70.88813036
33,-15.57859069,10.72894141,-39.82569017,-4.814385867,-33.72535573,18.27757372,-17.39516437,-43.96811855,-73.79780567,-68.27080393
34,-31.98387867,18.55807988,-28.01770871,-8.05110091,-22.30982304,16.25804755,-14.93723527,-50.48429093,-63.09085736,-96.35578202
35,-62.07493283,25.12747012,-53.44888324,-17.0240992,-22.26386491,4.428733831,-10.56264614,-26.72968057,-42.04001628,-73.32961863
36,-69.86908677,29.90757775,-49.65430791,-39.34022271,-30.59551116,19.80146097,-29.77215644,-49.20986613,-52.04276485,-72.04083468
37,-84.57929325,41.70937508,-30.96891171,-17.66148278,-18.20312833,33.70477088,-28.62944897,-43.05077638,-47.62993108,-75.3542608
38,-82.03918217,52.39120482,-36.46410781,-6.569714227,-10.88861826,47.30483143,-6.897949609,-35.84364539,-18.01191609,-50.28510728
39,-61.18821187,59.56763673,-43.32045597,18.99287583,0.754532453,44.35836527,0.985603893,-28.2169297,-33.92328286,-37.93207651
40,-56.62601919,55.65770359,-37.56177114,13.72678705,-15.28266142,61.16778231,10.43122768,-24.66764879,-30.3804045,-32.85418435
41,-44.64004415,64.56678522,-35.17712068,9.170920303,-23.98119163,37.65823835,23.20941671,-15.96983518,-42.94949167,-19.21604798
42,-16.39639058,46.10029323,-40.38499256,2.686411219,2.700069333,57.27483538,-13.36378194,11.14129235,-51.75454676,-23.53773709
43,-9.615655337,52.39260874,-40.61477206,-2.155425002,7.245476177,72.6850762,7.236121197,6.663332518,-51.07501948,-23.9948455
44,-6.636937783,37.17219709,-42.70742538,10.72535199,-19.1232423,60.47128521,7.254975818,-5.675373552,-43.51757054,-26.69235197
