Day in 2023,Sea Level,Water Temperature,Air Temperature,Barometric Pressure
0,0.578,20.8,22.4,1015.6
0.041666667,0.592,20.8,22.6,1015.4
0.083333333,0.684,21,22.3,1015
0.125,0.828,21.3,22.4,1014.6
0.166666667,0.988,21,22.6,1014
0.208333333,1.113,20.9,22.8,1013.8
0.25,1.177,20.9,22.6,1013.5
0.291666667,1.151,20.8,22.5,1013.5
0.333333333,1.037,21.5,22.3,1014.1
0.375,0.874,21.6,22.1,1014.4
0.416666667,0.7,21.5,21.9,1014.7
0.458333333,0.56,22,21.7,1014.8
0.5,0.485,22.2,21.4,1014.8
0.541666667,0.53,21.8,21.2,1014.3
0.583333333,0.688,21.7,21.4,1013.7
0.625,0.897,21.6,21.4,1013.2
0.666666667,1.14,21.3,21.2,1012.8
0.708333333,1.374,21.3,21,1012.6
0.75,1.529,21.1,20.9,1012.6
0.791666667,1.568,20.9,20.8,1012.9
0.833333333,1.496,20.7,21.2,1013.1
0.875,1.336,20.7,21.7,1013.5
0.916666667,1.122,21.1,21.6,1013.3
0.958333333,0.897,21.4,21.8,1012.8
1,0.734,22.4,21.9,1012.1
1.041666667,0.64,21.6,21.9,1011.5
1.083333333,0.638,22.2,22.4,1011
1.125,0.728,21.8,22.4,1010
1.166666667,0.867,21.9,22.5,1009.2
1.208333333,1.033,21.7,22.5,1008.5
1.25,1.168,21.8,22.4,1007.9
1.291666667,1.227,21.6,22.2,1007.5
1.333333333,1.198,21.5,22,1007.2
1.375,1.088,21.7,22,1007.9
1.416666667,0.923,21.9,21.9,1008
1.458333333,0.753,21.8,21.7,1008.3
1.5,0.618,21.8,21.6,1008.6
1.541666667,0.578,21.9,21.2,1007.3
1.583333333,0.643,21.7,21,1006.8
1.625,0.796,21.5,21.2,1006.4
1.666666667,1.025,21.4,21.4,1005.6
1.708333333,1.286,21.3,21,1005
1.75,1.511,21.4,21.1,1005
1.791666667,1.634,21.6,20.9,1005.7
1.833333333,1.654,21.4,21.3,1005.9
1.875,1.554,21.5,22.1,1006
1.916666667,1.361,21.4,21.5,1006
1.958333333,1.111,21.4,21.9,1005.7
2,0.863,21.4,21.9,1005.3
2.041666667,0.671,21.9,22.6,1005
2.083333333,0.557,21.7,22.7,1004.8
2.125,0.557,21.7,22.8,1004.5
2.166666667,0.653,22.3,23,1004.1
2.208333333,0.816,21.9,22.9,1003.6
2.25,0.993,22.4,22.9,1003.5
2.291666667,1.127,21.9,22.9,1003.2
2.333333333,1.192,21.6,22.7,1004.2
2.375,1.152,21.4,22.7,1005.7
2.416666667,1.045,22.2,22.2,1005.1
2.458333333,0.885,21.7,22.1,1005.8
2.5,0.723,21.6,22.1,1005.5
2.541666667,0.626,21.7,21.5,1004
2.583333333,0.608,21.4,21.8,1004.4
2.625,0.689,22.2,22,1004.2
2.666666667,0.878,21.6,21.3,1003.4
2.708333333,1.14,21.1,21.4,1003.3
2.75,1.415,21,20.8,1003.3
2.791666667,1.626,20.9,20.3,1003.5
2.833333333,1.744,20.8,19.5,1003.9
2.875,1.733,20.7,19.6,1004.6
2.916666667,1.607,20.6,19.6,1004.8
2.958333333,1.373,20.5,19.8,1005
3,1.108,20.5,20,1004.6
3.041666667,0.857,20.4,20.4,1004.6
3.083333333,0.666,20.5,19.8,1004.2
3.125,0.582,20.4,19.9,1003.7
3.166666667,0.608,20.2,19.4,1003.3
3.208333333,0.735,20.1,18.9,1003.7
3.25,0.926,19.8,18.8,1003.5
3.291666667,1.125,20,18.7,1002.8
3.333333333,1.251,20.1,18.5,1003.7
3.375,1.31,20.1,18.2,1004.4
3.416666667,1.255,20.1,18.3,1005.1
3.458333333,1.112,20.1,17.6,1005.5
3.5,0.929,20.1,17.6,1006
3.541666667,0.771,20.2,17.9,1006.4
3.583333333,0.685,20.2,18,1006.7
3.625,0.686,20.2,17.7,1007.1
3.666666667,0.813,20.2,17.2,1006.8
3.708333333,1.049,20.2,17.5,1006.8
3.75,1.337,20.1,17,1007.2
3.791666667,1.605,20.1,17.9,1007.7
3.833333333,1.799,20.1,18.1,1008.4
3.875,1.878,20.1,18.1,1009
3.916666667,1.818,20.2,18.9,1009.7
3.958333333,1.627,20.3,19.4,1009.7
4,1.339,20.5,18.6,1010.2
4.041666667,1.031,20.4,19.6,1010.2
4.083333333,0.757,20.4,20,1010.3
4.125,0.58,20.4,20.3,1010
