Fin Year,Catch kg,GVP Dolllars,EV Dollars
2001,5211083.496,61297975.16,28406466.68
2002,5446343.588,74484194.91,38629624.35
2003,5224137.812,75175343.11,39314430.03
2004,5374818.908,40370264.82,20826470.72
2005,5408664.8,43707420.25,22411816.62
2006,5648628.228,40602339.7,22406203.17
2007,5192724.36,39765883.15,16922098
2008,4787165.452,40724416.5,15641471.89
2009,4437021.392,39746837.63,21529917.33
2010,3692937.065,21688619.38,8214883.961
2011,3887979.88,30458434.38,19004662.79
2012,4470477.504,38955740.97,18534984.03
2013,4215886.96,37129316.46,15223471.81
2014,4589292.24,34199405.77,16918820.73
2015,5229037.636,35332607.31,20815675.91
2016,5323929.046,34680073.81,18992577.46
2017,4768885.06,33348813.22,18209421.25
2018,5587457.358,37827086.31,21555140.7
2019,5531136.777,38856235.86,17156874.08
2020,4925292.51,38269522.8,17061111.92
2021,5202994.332,32617571.47,17330515.26
2022,5423725.818,33030490.23,15166437.6
