Year,Max
1995,16
1995.00274,16
1995.005479,21.9
1995.008219,27.9
1995.010959,18.6
1995.013699,17.9
1995.016438,15.6
1995.019178,17
1995.021918,20.2
1995.024658,29
1995.027397,30.3
1995.030137,20.6
1995.032877,21.3
1995.035616,21.2
1995.038356,22
1995.041096,21.9
1995.043836,22.9
1995.046575,23.1
1995.049315,26.7
1995.052055,28.2
1995.054795,18.2
1995.057534,20.8
1995.060274,31.4
1995.063014,23.3
1995.065753,21.7
1995.068493,22.9
1995.071233,23.2
1995.073973,22.5
1995.076712,24
1995.079452,22.7
1995.082192,21.2
1995.084932,22
1995.087671,25
1995.090411,21
1995.093151,28
1995.09589,21
1995.09863,20
1995.10137,22
1995.10411,21
1995.106849,21
1995.109589,21
1995.112329,29
1995.115068,36
1995.117808,37
1995.120548,35
1995.123288,39
1995.126027,22
1995.128767,23
1995.131507,22
1995.134247,22
1995.136986,24
1995.139726,24
1995.142466,22
1995.145205,22
1995.147945,33
1995.150685,42
1995.153425,24
1995.156164,21
1995.158904,23.3
1995.161644,20
1995.164384,19
1995.167123,21
1995.169863,25
1995.172603,26
1995.175342,21
1995.178082,30
1995.180822,18
1995.183562,17
1995.186301,18
1995.189041,20
1995.191781,14.8
1995.194521,16
1995.19726,17
1995.2,15
1995.20274,18
1995.205479,18
1995.208219,16
1995.210959,16
1995.213699,16
1995.216438,17
1995.219178,16
1995.221918,16
1995.224658,14
1995.227397,15
1995.230137,15
1995.232877,15
1995.235616,15
1995.238356,16
1995.241096,15
1995.243836,12
1995.246575,16
1995.249315,13
1995.252055,17
1995.254795,21
1995.257534,13
1995.260274,13
1995.263014,12
1995.265753,12
1995.268493,12
1995.271233,12.8
1995.276712,14
1995.279452,15
1995.284932,23
1995.290411,14
1995.293151,19
1995.29589,13
1995.29863,15
1995.30137,14
1995.30411,17
1995.306849,19
1995.309589,13
1995.312329,15
1995.315068,13
1995.317808,13
1995.320548,19
1995.323288,22
1995.326027,15
1995.328767,12
1995.331507,16
1995.334247,12
1995.336986,13
1995.339726,13
1995.342466,12
1995.347945,13
1995.350685,14
1995.353425,18
1995.356164,18
1995.358904,19
1995.361644,17
1995.364384,12
1995.367123,12.9
1995.369863,13
1995.372603,12
1995.375342,13
1995.378082,15
1995.380822,12
1995.383562,13
1995.386301,14
1995.389041,17
1995.391781,15
