Year,Max
1995,33
1995.00274,32.9
1995.005479,34.2
1995.008219,33.2
1995.010959,33.4
1995.013699,33
1995.016438,33
1995.019178,33.4
1995.021918,33
1995.024658,31
1995.027397,32.1
1995.030137,30.2
1995.032877,27.1
1995.035616,30.1
1995.038356,28
1995.041096,29.2
1995.043836,31.8
1995.046575,29.7
1995.049315,30.5
1995.052055,31.1
1995.054795,29.8
1995.057534,31.8
1995.060274,32.5
1995.063014,32.2
1995.065753,31.2
1995.068493,29.1
1995.071233,29.3
1995.073973,29
1995.076712,29.7
1995.079452,30.9
1995.082192,32.8
1995.084932,32.7
1995.087671,32.9
1995.090411,32.1
1995.093151,32.3
1995.09589,31.7
1995.09863,31.6
1995.10137,30.2
1995.10411,31.4
1995.106849,31.7
1995.109589,31.4
1995.112329,32
1995.115068,31
1995.117808,31.7
1995.120548,32
1995.123288,32
1995.126027,31.5
1995.128767,31.9
1995.131507,31.4
1995.134247,32.5
1995.136986,30.6
1995.139726,31.1
1995.142466,31.7
1995.145205,32.2
1995.147945,31.5
1995.150685,31.5
1995.153425,30.4
1995.156164,30.9
1995.158904,30.7
1995.161644,30.6
1995.164384,31.5
1995.167123,30.1
1995.169863,27.2
1995.172603,28.1
1995.175342,26.8
1995.178082,29.6
1995.180822,28.4
1995.183562,27.9
1995.186301,31.5
1995.189041,31.9
1995.191781,32.3
1995.194521,33
1995.19726,31.8
1995.2,31.8
1995.20274,30.5
1995.205479,31.3
1995.208219,30.8
1995.210959,31.5
1995.213699,31.1
1995.216438,33.1
1995.219178,31.2
1995.221918,32.9
1995.224658,34
1995.227397,32.4
1995.230137,32.6
1995.232877,33.9
1995.235616,32.5
1995.238356,32.6
1995.241096,28.4
1995.243836,26.5
1995.246575,27.8
1995.249315,31.1
1995.252055,32.7
1995.254795,27.7
1995.257534,30.5
1995.260274,31.5
1995.263014,32.3
1995.265753,31.8
1995.268493,31.6
1995.271233,31.4
1995.273973,31.4
1995.276712,31.6
1995.279452,31.6
1995.282192,31.9
1995.284932,31.7
1995.287671,31.9
1995.290411,33.6
1995.293151,33
1995.29589,32.4
1995.29863,31.8
1995.30137,33.4
1995.30411,33.4
1995.306849,33.6
1995.309589,33.1
1995.312329,33.4
1995.315068,33.5
1995.317808,32.8
1995.320548,33.1
1995.323288,31.6
1995.326027,31.9
1995.328767,33.2
1995.331507,33
1995.334247,33.2
1995.336986,30.6
1995.339726,26.7
1995.342466,30.5
1995.345205,31.6
1995.347945,33.1
1995.350685,33.6
1995.353425,32
1995.356164,33.2
1995.358904,33.2
1995.361644,32.5
1995.364384,32
1995.367123,32.9
1995.369863,30.7
1995.372603,30.8
1995.375342,31.8
1995.378082,32
1995.380822,31
1995.383562,29.7
1995.386301,30
1995.389041,31.7
1995.391781,32.7
1995.394521,31.2
1995.39726,33.3
1995.4,31.2
1995.40274,30.1
1995.405479,30.3
1995.408219,31.1
1995.410959,32.1
1995.413699,32.4
1995.416438,33
1995.419178,32.9
1995.421918,32.5
1995.424658,31.7
1995.427397,32.4
1995.430137,32
1995.432877,32.9
1995.435616,32.7
1995.438356,31.7
1995.441096,31.6
1995.443836,31.8
1995.446575,31.9
1995.449315,31.2
1995.452055,30.7
1995.454795,29.3
1995.457534,29
1995.460274,26.2
1995.463014,25.4
1995.465753,26.3
1995.468493,26.6
1995.471233,28.1
1995.473973,29.8
1995.476712,29.5
1995.479452,29.1
1995.482192,30.5
1995.484932,30.1
1995.487671,31.2
1995.490411,31.1
1995.493151,27.4
1995.49589,30.9
1995.49863,31.2
1995.50137,31.9
1995.50411,30.5
1995.506849,30.4
1995.509589,30
1995.512329,29.8
1995.515068,31.5
1995.517808,31.5
1995.520548,32.3
1995.523288,27.9
1995.526027,28.8
1995.528767,29
1995.531507,29.5
1995.534247,30.4
1995.536986,31.6
1995.539726,32.4
1995.542466,31.6
1995.545205,33.8
1995.547945,32.8
1995.550685,30
1995.553425,30.1
1995.556164,32
1995.558904,31.7
1995.561644,31.3
1995.564384,29.4
1995.567123,31.2
1995.569863,31.1
1995.572603,30.2
1995.575342,28.6
1995.578082,31.6
1995.580822,32.3
1995.583562,33.3
1995.586301,33.5
1995.589041,33.3
1995.591781,33.7
1995.594521,32.6
1995.59726,30
1995.6,28.5
1995.60274,29
1995.605479,30
1995.608219,30.9
1995.610959,31.4
1995.613699,31.4
1995.616438,31.6
1995.619178,32.1
1995.621918,31.4
1995.624658,31.2
1995.627397,31.1
1995.630137,32.6
1995.632877,33.2
1995.635616,32.5
1995.638356,33.8
1995.641096,32.6
1995.643836,33.2
1995.646575,33.6
1995.649315,33.9
1995.652055,33.7
1995.654795,33.9
1995.657534,33.1
1995.660274,32.6
1995.663014,30.8
1995.665753,30.4
1995.668493,30.5
1995.671233,30.6
1995.673973,31.5
1995.676712,32
1995.679452,31.8
1995.682192,33.9
1995.684932,32
1995.687671,32
1995.690411,32.9
1995.693151,34.1
1995.69589,36.4
1995.69863,34.8
1995.70137,33.5
1995.70411,33.8
1995.706849,32.4
1995.709589,32.9
1995.712329,32.6
1995.715068,32.6
1995.717808,32.3
1995.720548,32.8
1995.723288,31.8
1995.726027,31.6
1995.728767,33.6
1995.731507,32.7
1995.734247,33
1995.736986,33.6
1995.739726,32.8
1995.742466,32.6
1995.745205,34
1995.747945,33.5
1995.750685,32.1
1995.753425,32.8
1995.756164,34
1995.758904,32.6
1995.761644,33.4
1995.764384,29.7
1995.767123,32.4
1995.769863,31.8
1995.772603,32
1995.775342,32.4
1995.778082,33.1
1995.780822,33
1995.783562,31.2
1995.786301,36.1
1995.789041,34.4
1995.791781,33.4
1995.794521,33.1
1995.79726,32
1995.8,31.6
1995.80274,32
1995.805479,32
1995.808219,29.8
1995.810959,32.8
1995.813699,33.5
1995.816438,33.1
1995.819178,33.7
1995.821918,33.2
1995.824658,35.2
1995.827397,34.7
1995.830137,33.2
1995.832877,33.3
1995.835616,34.3
1995.838356,31.7
1995.841096,33
1995.843836,32.6
1995.846575,33.2
1995.849315,33.2
1995.852055,33.4
1995.854795,33.3
1995.857534,33.5
1995.860274,34
1995.863014,34.6
1995.865753,32.4
1995.868493,32.7
1995.871233,31.1
1995.873973,32.8
1995.876712,32.8
1995.879452,33.1
1995.882192,32.8
1995.884932,32.9
1995.887671,33.6
1995.890411,34.8
1995.893151,33.8
1995.89589,35.5
1995.89863,35.2
1995.90137,35
1995.90411,33.4
1995.906849,33.2
1995.909589,34
1995.912329,33.8
1995.915068,33.9
1995.917808,34.8
1995.920548,33.9
1995.923288,33.9
1995.926027,35
1995.928767,34
1995.931507,32.8
1995.934247,32.9
1995.936986,30
1995.939726,30.6
1995.942466,31.7
1995.945205,32.3
1995.947945,30.7
1995.950685,30.9
1995.953425,31.6
1995.956164,31.1
1995.958904,30.1
1995.961644,32.1
1995.964384,32.2
1995.967123,32.5
1995.969863,31.9
1995.972603,31.9
1995.975342,32.6
1995.978082,32.8
1995.980822,32.8
1995.983562,32.7
1995.986301,33.6
1995.989041,31.9
1995.991781,32.8
1995.994521,31.9
1995.99726,31.8
1996,31.6
1996.002732,29.9
1996.005464,32
1996.008197,33.3
1996.010929,32.3
1996.013661,33
1996.016393,33.5
1996.019126,32.5
1996.021858,33
1996.02459,33.4
1996.027322,33
1996.030055,33.1
1996.032787,32.6
1996.035519,31.7
1996.038251,33.3
1996.040984,31.3
1996.043716,32.6
1996.046448,31.8
1996.04918,32.1
1996.051913,32.7
1996.054645,31
1996.057377,30.9
1996.060109,31.4
1996.062842,32.7
1996.065574,32.8
1996.068306,32.5
1996.071038,32.6
1996.07377,32.6
1996.076503,33.1
1996.079235,32.4
1996.081967,29.7
1996.084699,31
1996.087432,32.3
1996.090164,32.4
1996.092896,33
1996.095628,33.4
1996.098361,33.1
1996.101093,33.2
1996.103825,31.7
1996.106557,31.8
1996.10929,31.6
1996.112022,30.4
1996.114754,32.2
1996.117486,33.5
1996.120219,33.4
1996.122951,33.6
1996.125683,33.2
1996.128415,33.1
1996.131148,33.5
1996.13388,32.9
1996.136612,33.7
1996.139344,34.2
1996.142077,33.5
1996.144809,32.5
1996.147541,30.6
1996.150273,32
1996.153005,30.9
1996.155738,31.6
1996.15847,30.2
1996.161202,30.5
1996.163934,29.5
1996.166667,30.4
1996.169399,31.1
1996.172131,29.8
1996.174863,29.2
1996.177596,29.6
1996.180328,29.6
1996.18306,30.6
1996.185792,32.3
1996.188525,33
1996.191257,32.3
1996.193989,32.4
1996.196721,31.2
1996.199454,32.9
1996.202186,32.9
1996.204918,33.2
1996.20765,32.9
1996.210383,32.7
1996.213115,32.9
1996.215847,33.1
1996.218579,34.1
1996.221311,34.6
1996.224044,34.7
1996.226776,33.6
1996.229508,33.5
1996.23224,32.6
1996.234973,32.3
1996.237705,33.2
1996.240437,33.2
1996.243169,34.1
1996.245902,34.7
1996.248634,35.8
1996.251366,31.7
1996.254098,31.6
1996.256831,31
1996.259563,30.7
1996.262295,30.6
1996.265027,31.1
1996.26776,30.9
1996.270492,31.4
1996.273224,31.5
1996.275956,31.2
1996.278689,31.6
1996.281421,32.1
1996.284153,32.9
1996.286885,31.7
1996.289617,32.3
1996.29235,33.4
1996.295082,32.7
1996.297814,32.1
1996.300546,32.3
1996.303279,32.7
1996.306011,33.6
1996.308743,34
1996.311475,32
1996.314208,32.2
1996.31694,32.8
1996.319672,34.1
1996.322404,35
1996.325137,33.5
1996.327869,34.7
1996.330601,33.7
1996.333333,33.3
1996.336066,33.1
1996.338798,32.9
1996.34153,32
1996.344262,32.2
1996.346995,32.5
1996.349727,33
1996.352459,33
1996.355191,33.2
1996.357923,34.2
1996.360656,34.1
1996.363388,34.1
1996.36612,33
1996.368852,32.3
1996.371585,32.5
1996.374317,31.7
1996.377049,31.8
1996.379781,31.7
1996.382514,32.6
1996.385246,30.7
1996.387978,30.5
1996.39071,30.3
1996.393443,31.6
1996.396175,30.3
1996.398907,32.9
1996.401639,31.7
1996.404372,33.4
1996.407104,32.9
1996.409836,32.6
1996.412568,32.5
1996.415301,32.9
1996.418033,32.8
1996.420765,32.5
1996.423497,33.5
1996.42623,32.8
1996.428962,32.9
1996.431694,32.2
1996.434426,32.3
1996.437158,32
1996.439891,32.8
1996.442623,32.2
1996.445355,31.8
1996.448087,31.8
1996.45082,31.8
1996.453552,31.8
1996.456284,31.4
1996.459016,31.2
1996.461749,31.5
1996.464481,30.7
1996.467213,32.1
1996.469945,31
1996.472678,31.8
1996.47541,31.4
1996.478142,31
1996.480874,31.8
1996.483607,32.6
1996.486339,31.3
1996.489071,33.2
1996.491803,32.6
1996.494536,32.9
1996.497268,33.6
1996.5,32.2
1996.502732,32.3
1996.505464,31.7
1996.508197,31.5
1996.510929,33.1
1996.513661,32.9
1996.516393,31.7
1996.519126,31.2
1996.521858,31
1996.52459,31.1
1996.527322,31
1996.530055,30.1
1996.532787,29.2
1996.535519,29.9
1996.538251,30.5
1996.540984,30.1
1996.543716,30.4
1996.546448,29.8
1996.54918,30.5
1996.551913,33.5
1996.554645,33.5
1996.557377,31.9
1996.560109,31.2
1996.562842,30.6
1996.565574,29.3
1996.568306,29.8
1996.571038,28.1
1996.57377,29.4
1996.576503,30.8
1996.579235,29.9
1996.581967,29.4
1996.584699,29.9
1996.587432,29.9
1996.590164,30.2
1996.592896,30.5
1996.595628,30.2
1996.598361,31.6
1996.601093,31.6
1996.603825,30.6
1996.606557,31.3
1996.60929,32.1
1996.612022,32.2
1996.614754,31.3
1996.617486,32.2
