Fin Year,Catch kg,GVP Dollars,EV Dollars
2001,26245.208,681771.7682,118704.6126
2002,43011.148,1152698.766,37558.98331
2003,222941.9469,5520042.605,1574849.438
2004,390298.6613,6965269.91,3137407.426
2005,393016.0972,7184727.273,3342773.179
2006,178738.938,3669510.397,1878070.503
2007,207164.899,4759820.719,1840032.052
2008,91497.9208,2542361.227,1315174.675
2009,103437.3005,3005060.454,1490147.395
2010,155126.38,5506055.732,2526355.444
2011,412045.3964,14667579.98,8437994.89
2012,356627.7472,10872866.76,6254925.151
2013,400904.817,16389389.82,8187561.836
2014,312073.7382,11321411.07,5778454.779
2015,184104.3724,7021924.868,2460199.631
2016,216000.308,8207579.703,2804602.728
2017,166747.06,7617339.195,3360722.231
2018,136604.963,7366832.445,1847919.874
2019,160940.161,8618506.562,1621624.979
2020,156621.6961,6033224.355,2218183.924
2021,117994.125,5374514.4,2592049.257
2022,146481.453,8156087.303,2398943.009
