Year,CWWCWW GM,CWWSSS GM,SSSSC GM,S GM
1960,412.5169303,232.9534652,113.6467539,53.39
1961,160.0203948,123.4651974,77.76438774,86.91
1962,380.4678405,196.2939202,74.67776375,12.12
1963,389.1738316,215.7369158,97.82119602,42.3
1964,344.3283261,219.199163,138.6942523,94.07
1965,-63.40745701,-13.3537285,16.40557104,36.7
1966,235.5051035,164.2675518,119.0763993,93.03
1967,-130.9716028,-27.86080138,47.4326816,75.25
1968,16.16162818,7.845814089,0.106403904,-0.47
1969,313.9116706,200.4558353,111.6772947,87
1970,445.8525671,266.9262835,156.3549044,88
1971,26.37622109,59.61811054,66.70145621,92.86
1972,70.52714148,66.43857074,60.49236277,62.35
1973,519.6491679,278.019584,123.4476286,36.39
1974,662.5271389,378.0685695,192.3918132,93.61
1975,152.677636,123.293818,94.87867296,93.91
1976,-134.5712872,-155.2056436,-154.6097386,-175.84
1977,-157.8697424,-97.12487118,-46.52176784,-36.38
1978,544.5565831,249.6032915,58.31546599,-45.35
1979,92.6086956,71.6393478,53.25942984,50.67
1980,-18.19391701,16.49304149,46.76235076,51.18
1981,115.2702844,47.31014219,-8.147876325,-20.65
1982,-185.7234711,-110.8667356,-53.40930784,-36.01
1983,479.4304008,236.0552004,76.62794267,-7.32
1984,392.6426589,245.5363295,142.8648101,98.43
1985,159.1282336,109.0141168,71.98210036,58.9
1986,349.6966997,203.1833498,109.0146988,56.67
1987,130.2634255,106.0117128,75.77245062,81.76
1988,213.9784478,140.5542239,76.16939161,67.13
1989,436.3468442,270.6784221,150.3083414,105.01
1990,436.9270861,272.0685431,154.3448269,107.21
1991,187.8470931,119.6285466,68.41783446,51.41
1992,415.3345519,253.2772759,154.5563292,91.22
1993,384.8926168,240.3963084,145.5101262,95.9
1994,-153.9189505,-82.06947525,-28.59689888,-10.22
1995,214.0526808,93.16634042,4.923804152,-27.72
1996,383.3521573,235.5660787,129.5087328,87.78
1997,45.03281426,25.98640713,16.69942918,6.94
1998,337.8278662,166.9039331,57.8565689,-4.02
1999,430.8584923,259.4392462,145.7835017,88.02
2000,240.3846042,170.8973021,110.0505438,101.41
2001,-1.684606255,8.277696873,18.38938685,18.24
2002,-136.4816143,-62.81080713,-14.14608784,10.86
2003,538.1636884,246.3018442,63.02232505,-45.56
2004,71.91282041,56.69141021,29.27323184,41.47
2005,503.3785667,255.0792834,93.90747088,6.78
2006,-207.1258974,-134.1779487,-83.45382832,-61.23
2007,-67.9826723,-80.90633615,-77.63229271,-93.83
2008,70.41193465,-12.19403267,-68.33558959,-94.8
2009,-89.83243224,-69.22621612,-47.4226456,-48.62
