Year,CWWCWW GM,CWWSSS GM,SSSSC GM,S GM
1960,410.8267024,241.5033512,126.735791,72.18
1961,205.1483008,181.1091504,149.9363749,157.07
1962,492.0175886,321.3687943,210.3702922,150.72
1963,280.4628977,184.0614488,103.2156978,87.66
1964,367.4968318,255.4084159,178.2726481,143.32
1965,0.942755449,21.18137772,24.63808638,41.42
1966,353.5242806,243.6271403,164.8454446,133.73
1967,-123.4698424,-29.16992119,39.3366816,65.13
1968,285.5317347,149.2758674,48.3281407,13.02
1969,679.4281167,412.6940584,242.4237255,145.96
1970,569.0807219,360.0603609,232.4409956,151.04
1971,-50.41078546,0.314607272,31.42274176,51.04
1972,34.97949445,70.27974722,95.07636277,105.58
1973,618.5408251,345.1254126,174.0147377,71.71
1974,569.5549127,357.9724564,208.8841586,146.39
1975,337.0352481,192.3976241,102.7127489,47.76
1976,187.6038373,95.57691867,23.01727161,3.55
1977,-147.145105,-31.35255251,50.13423216,84.44
1978,673.4295785,326.7797893,105.6643785,-19.87
1979,64.21244207,97.77122104,103.3645175,131.33
1980,106.757708,79.68885401,47.91435076,52.62
1981,395.295648,224.532824,101.1605509,53.77
1982,-97.19312819,-58.5365641,-38.27412589,-19.88
1983,589.6027781,317.181389,144.4850994,44.76
1984,648.1404317,406.0302158,252.0875059,163.92
1985,372.6148348,245.9724174,161.5006259,119.33
1986,477.5677288,318.2888644,216.5718153,159.01
1987,350.6079639,239.8489819,155.7040073,129.09
1988,361.906879,230.9334395,134.773447,99.96
1989,568.8332883,365.4166442,230.8736739,162
1990,570.1346701,356.457335,214.0860202,142.78
1991,509.0691828,276.5195914,115.8255685,43.97
1992,521.0451274,334.6375637,210.9068587,148.23
1993,470.1312103,315.8006052,209.0964726,161.47
1994,-142.4400228,-14.95001141,69.61110112,112.54
1995,613.096523,322.7482615,141.3489925,32.4
1996,476.7554627,288.3277314,167.0693806,99.9
1997,250.3834393,180.8267197,124.2173002,111.27
1998,523.9229956,290.8464978,136.9953472,57.77
1999,487.8755159,323.1377579,216.4483633,158.4
2000,415.0439467,287.2119733,202.3401924,159.38
2001,229.4935474,179.5517737,140.3901518,129.61
2002,-131.1878674,-67.78393372,-26.33808784,-4.38
2003,355.5516461,151.8858231,11.17864673,-51.78
2004,62.72447798,21.36223899,-6.111512054,-20
2005,587.681404,318.930702,145.516899,50.18
2006,-239.1900944,-155.0000472,-91.11782832,-70.81
2007,0.122889092,-33.26855545,-55.89629271,-66.66
2008,49.14094679,60.0754734,64.31241041,71.01
2009,-67.47800915,7.295995427,57.1293544,82.07
