Year,Annual rain,Apr-Oct rain,Wheat Yld,Sheep DSE,Wheat GM,Sheep GM
1900,240.5,138.8,0.856644,3.528,143.7371,75.638556
1901,271.3,189.7,0.349934,6.582,8.81185,141.114789
1902,152.2,97.8,0.183491,1.068,-34.679975,22.897386
1903,429.4,268.8,1.608036,11.328,336.9499,242.866656
1904,312.3,161.7,0.848392,4.902,141.4678,105.096429
1905,251.3,161.9,1.270217,4.914,244.049675,105.353703
1906,404.9,272.7,2.989688,11.562,709.4142,247.883499
1907,411.9,329.5,1.788631,14.97,386.613525,320.949315
1908,372.4,271.8,3.401557,11.508,822.678175,246.725766
1909,353.2,294.5,2.65328,12.87,616.902,275.926365
1910,394.6,279.3,3.499417,11.958,849.589675,256.373541
1911,285.3,161.4,1.261485,4.884,241.648375,104.710518
1912,314.2,172.6,1.597723,5.556,334.113825,119.117862
1913,211.9,104,0.06289,1.44,-67.84525,30.87288
1914,191.1,55.5,0.052929,0,-70.584525,0
1915,287.2,242.8,2.146335,9.768,477.492125,209.421036
1916,460.1,408.2,3.497205,19.692,848.981375,422.186634
1917,611.4,408.8,3.683229,19.728,900.137975,422.958456
1918,245.5,196.3,1.544071,6.978,319.359525,149.604831
1919,292.7,107.8,0.03692,1.668,-74.987,35.761086
1920,676.7,419.3,4.063444,20.358,1004.6971,436.465341
1921,540.6,238.5,1.350911,9.51,266.240525,203.889645
1922,322.1,260,0.427569,10.8,30.161475,231.5466
1923,346.2,241.2,1.930905,9.672,418.248875,207.362844
1924,249.7,159.6,0.672922,4.776,93.21355,102.395052
1925,183.7,136.8,0.366858,3.408,13.46595,73.065816
1926,260.6,238.4,1.925152,9.504,416.6668,203.761008
1927,177.8,129.8,0.73462,2.988,110.1805,64.061226
1928,164.2,120.8,0.790003,2.448,125.410825,52.483896
1929,131,71.6,0.25342,0,-17.7295,0
1930,250.8,180.4,1.056129,6.024,198.595475,129.151548
1931,402.1,336.6,1.496091,15.396,306.165025,330.082542
1932,325.6,223.3,2.043008,8.598,449.0772,184.336821
1933,238,142.4,1.310378,3.744,255.09395,80.269488
