Year,Annual rain,Apr-Oct rain,Wheat Yld,Sheep DSE,Wheat GM,Sheep GM
1900,250.4,200,1.665513,7.2,352.756075,154.3644
1901,243.3,234.3,3.022086,9.258,718.32365,198.486891
1902,174.9,102.8,0.10304,1.368,-56.804,29.329236
1903,377.3,230.7,1.378188,9.042,273.7417,193.855959
1904,276.8,156.8,0.734185,4.608,110.060875,98.793216
1905,256.3,215.9,1.036231,8.154,193.123525,174.817683
1906,355.4,234.5,3.056035,9.27,727.659625,198.744165
1907,331.4,258,1.69392,10.68,360.568,228.97386
1908,404.5,290.2,4.187275,12.612,1038.750625,270.394974
1909,354.2,304.7,2.083908,13.482,460.3247,289.047339
1910,479.6,311.7,3.856061,13.902,947.666775,298.051929
1911,217.6,159.2,0.855288,4.752,143.3642,101.880504
1912,333.8,239.1,2.901002,9.546,685.02555,204.661467
1913,218.2,115.2,0.439373,2.112,33.407575,45.280224
1914,228.2,111.9,0.033234,1.914,-76.00065,41.035203
1915,313.6,227,2.402992,8.82,548.0728,189.09639
1916,451.2,319,3.488617,14.34,846.619675,307.44243
1917,562.3,371.4,4.381754,17.484,1092.23235,374.848218
1918,276,229.1,2.234277,8.946,501.676175,191.797767
1919,327.7,162.3,0.192374,4.938,-32.23715,105.868251
1920,534.3,314,3.396068,14.04,821.1687,301.01058
1921,570.1,226.4,2.386494,8.784,543.53585,188.324568
1922,321.6,240,1.089649,9.6,207.813475,205.8192
1923,343.5,284.8,2.352816,12.288,534.2744,263.448576
1924,262.5,170.5,0.604936,5.43,74.5174,116.416485
1925,211.4,176.4,1.02084,5.784,188.891,124.006068
1926,311.3,262.3,2.721087,10.938,635.548925,234.505251
1927,204,159.7,1.134253,4.782,220.079575,102.523689
1928,236.5,159.6,0.748015,4.776,113.864125,102.395052
1929,221,90,0.135901,0.6,-47.767225,12.8637
1930,275.3,208.1,1.881709,7.686,404.719975,164.783997
1931,304.3,253,1.687385,10.38,358.770875,222.54201
1932,358.4,311.9,3.373318,13.914,814.91245,298.309203
1933,285.5,177.6,0.920963,5.856,161.424825,125.549712
1934,348,203,0.779894,7.38,122.63085,158.22351
1935,208.3,147.1,0.427998,4.026,30.27945,86.315427
1936,294.5,177.9,1.279951,5.874,246.726525,125.935623
1937,452,209.1,2.061874,7.746,454.26535,166.070367
1938,345.9,204.3,0.595571,7.458,76.362025,159.895791
1939,425,247.9,2.779542,10.074,651.62405,215.981523
1940,139.8,103.1,0.128415,1.386,-49.825875,29.715147
1941,332.8,156.7,1.13689,4.602,220.80475,98.664579
1942,346.4,288,2.962423,12.48,701.916325,267.56496
1943,259.7,144.2,0.778731,3.852,122.311025,82.584954
1944,192,89,0.091897,0.54,-59.868325,11.57733
1945,268.3,185.6,1.659305,6.336,351.048875,135.840672
1946,483.1,133.8,0.924642,3.228,162.43655,69.206706
1947,391.2,258.6,3.71887,10.716,909.93925,229.745682
1948,325.4,187.6,0.223357,6.456,-25.996825,138.413412
1949,343.9,248.6,2.282908,10.116,515.0497,216.881982
