tau,e(s),z(t)=z(s)+e(s),z(t)-z(s)=e(s)
0,1.605095734,10,1.605095734
1,0.223472397,11.60509573,0.223472397
2,-1.785685808,11.82856813,-1.785685808
3,-1.183147611,10.04288232,-1.183147611
4,0.335688267,8.859734712,0.335688267
5,-0.103447734,9.195422979,-0.103447734
6,-1.849008774,9.091975245,-1.849008774
7,1.646809139,7.242966471,1.646809139
8,-0.819420984,8.88977561,-0.819420984
9,-0.451318836,8.070354626,-0.451318836
10,0.367527206,7.61903579,0.367527206
11,-0.338017796,7.986562996,-0.338017796
12,0.040808785,7.6485452,0.040808785
13,0.239942539,7.689353985,0.239942539
14,1.397083625,7.929296524,1.397083625
15,0.289392263,9.326380149,0.289392263
16,-0.500977337,9.615772412,-0.500977337
17,2.138631672,9.114795075,2.138631672
18,0.050117696,11.25342675,0.050117696
19,-0.767517694,11.30354444,-0.767517694
20,0.381879418,10.53602675,0.381879418
21,-1.243667027,10.91790617,-1.243667027
22,1.097636199,9.67423914,1.097636199
23,1.455602036,10.77187534,1.455602036
24,0.045662453,12.22747738,0.045662453
25,1.18032919,12.27313983,1.18032919
26,-1.222628343,13.45346902,-1.222628343
27,1.955250632,12.23084068,1.955250632
28,-0.009868171,14.18609131,-0.009868171
29,-0.416446061,14.17622314,-0.416446061
30,-1.15286903,13.75977708,-1.15286903
31,0.714300272,12.60690805,0.714300272
32,-0.936955422,13.32120832,-0.936955422
33,0.296313511,12.3842529,0.296313511
34,-0.45205385,12.68056641,-0.45205385
35,0.081544373,12.22851256,0.081544373
36,-1.458310434,12.31005693,-1.458310434
37,0.924679986,10.8517465,0.924679986
38,1.21458334,11.77642648,1.21458334
39,-1.28100725,12.99100982,-1.28100725
40,1.594028317,11.71000257,1.594028317
41,-0.53779317,13.30403089,-0.53779317
42,1.147090226,12.76623772,1.147090226
43,0.40975996,13.91332794,0.40975996
44,0.879400461,14.3230879,0.879400461
45,0.781655751,15.20248837,0.781655751
46,-0.445177745,15.98414412,-0.445177745
47,-0.080808065,15.53896637,-0.080808065
48,0.423151627,15.45815831,0.423151627
49,-2.667176762,15.88130993,-2.667176762
50,0.704551789,13.21413317,0.704551789
51,-0.400699892,13.91868496,-0.400699892
52,-1.211542146,13.51798507,-1.211542146
53,-2.392278486,12.30644292,-2.392278486
54,0.158694491,9.914164436,0.158694491
55,0.571666311,10.07285893,0.571666311
56,0.421129786,10.64452524,0.421129786
57,-1.264131432,11.06565502,-1.264131432
58,-1.026537195,9.801523592,-1.026537195
59,0.542506962,8.774986397,0.542506962
60,-1.897307916,9.317493359,-1.897307916
61,-1.093812442,7.420185443,-1.093812442
62,-0.999387262,6.326373001,-0.999387262
63,-1.18008085,5.326985739,-1.18008085
64,0.784946158,4.146904889,0.784946158
65,0.802321769,4.931851047,0.802321769
66,-0.902102508,5.734172816,-0.902102508
67,0.364308623,4.832070308,0.364308623
68,1.326262706,5.196378931,1.326262706
69,0.375302598,6.522641637,0.375302598
70,-1.469598154,6.897944235,-1.469598154
71,0.608010015,5.428346081,0.608010015
72,-0.973797944,6.036356096,-0.973797944
73,-1.597077638,5.062558152,-1.597077638
74,-0.661357706,3.465480514,-0.661357706
75,0.442818854,2.804122808,0.442818854
76,-0.574389415,3.246941662,-0.574389415
77,-0.89066844,2.672552247,-0.89066844
78,-0.593967453,1.781883807,-0.593967453
79,2.648341528,1.187916354,2.648341528
80,-0.750871741,3.836257882,-0.750871741
81,-0.820232605,3.085386141,-0.820232605
82,1.171782204,2.265153536,1.171782204
83,-0.070813671,3.43693574,-0.070813671
84,-0.260238419,3.366122069,-0.260238419
85,-0.397755403,3.10588365,-0.397755403
86,0.597860281,2.708128247,0.597860281
87,-0.353826683,3.305988528,-0.353826683
88,1.415792424,2.952161845,1.415792424
89,0.271874875,4.367954269,0.271874875
90,0.242149509,4.639829144,0.242149509
91,0.031980839,4.881978653,0.031980839
92,0.126099889,4.913959492,0.126099889
93,0.897741878,5.040059381,0.897741878
94,-0.332923267,5.937801259,-0.332923267
95,-0.51165345,5.604877992,-0.51165345
96,0.85055704,5.093224542,0.85055704
97,-0.634090071,5.943781582,-0.634090071
98,0.333268589,5.309691511,0.333268589
99,0.611245307,5.6429601,0.611245307
100,0.815565648,6.254205407,0.815565648
101,-1.217727666,7.069771055,-1.217727666
102,-0.696875121,5.852043389,-0.696875121
103,-2.42885924,5.155168268,-2.42885924
104,-1.210139602,2.726309028,-1.210139602
105,-1.848597865,1.516169426,-1.848597865
106,0.221497028,-0.332428439,0.221497028
107,0.761625368,-0.110931411,0.761625368
108,0.922608196,0.650693957,0.922608196
109,-1.633323792,1.573302153,-1.633323792
110,1.431789086,-0.060021639,1.431789086
111,-0.653187282,1.371767447,-0.653187282
112,-0.851123705,0.718580165,-0.851123705
113,2.074674326,-0.13254354,2.074674326
114,-0.046684002,1.942130786,-0.046684002
115,-0.821516332,1.895446784,-0.821516332
116,0.130980335,1.073930452,0.130980335
117,-0.934066697,1.204910787,-0.934066697
118,0.917841357,0.27084409,0.917841357
119,-0.653767488,1.188685447,-0.653767488
120,0.773959697,0.534917959,0.773959697
121,1.38832305,1.308877656,1.38832305
122,0.733942758,2.697200706,0.733942758
123,-0.064845893,3.431143464,-0.064845893
124,-0.135978063,3.366297571,-0.135978063
125,0.129941892,3.230319508,0.129941892
126,0.786067122,3.3602614,0.786067122
127,1.915096823,4.146328522,1.915096823
128,-1.007507604,6.061425345,-1.007507604
129,1.479168692,5.053917741,1.479168692
130,1.713928208,6.533086433,1.713928208
131,-0.403191586,8.247014641,-0.403191586
132,-0.289087307,7.843823055,-0.289087307
133,0.924287295,7.554735748,0.924287295
134,-1.837797918,8.479023043,-1.837797918
135,0.893188131,6.641225125,0.893188131
136,-1.116106137,7.534413256,-1.116106137
137,-0.483893774,6.418307119,-0.483893774
138,-0.189596867,5.934413345,-0.189596867
139,-0.657237132,5.744816478,-0.657237132
140,1.796398519,5.087579346,1.796398519
141,-0.239807349,6.883977865,-0.239807349
142,0.32924675,6.644170516,0.32924675
143,-0.41928942,6.973417266,-0.41928942
144,-1.918593788,6.554127846,-1.918593788
145,-0.216614814,4.635534058,-0.216614814
146,-2.322678368,4.418919244,-2.322678368
147,0.325154677,2.096240876,0.325154677
148,0.408985987,2.421395553,0.408985987
149,1.114133145,2.83038154,1.114133145
150,-1.277937959,3.944514685,-1.277937959
151,-0.235382519,2.666576726,-0.235382519
152,1.616260028,2.431194207,1.616260028
153,0.455760576,4.047454235,0.455760576
154,-0.472792295,4.503214811,-0.472792295
155,1.4678953,4.030422516,1.4678953
156,-0.518881097,5.498317816,-0.518881097
157,-0.245121996,4.979436719,-0.245121996
158,0.077909579,4.734314723,0.077909579
159,0.775766864,4.812224302,0.775766864
160,-1.17770318,5.587991166,-1.17770318
161,1.834042126,4.410287986,1.834042126
162,-0.285594583,6.244330112,-0.285594583
163,-0.227519013,5.958735529,-0.227519013
164,1.814669874,5.731216516,1.814669874
165,1.431183552,7.54588639,1.431183552
166,-1.43857401,8.977069942,-1.43857401
167,1.025170509,7.538495932,1.025170509
168,-0.442069386,8.563666441,-0.442069386
169,0.519796303,8.121597055,0.519796303
170,0.449215306,8.641393358,0.449215306
171,0.939586219,9.090608664,0.939586219
172,-0.630586699,10.03019488,-0.630586699
173,0.504513509,9.399608184,0.504513509
174,0.512194548,9.904121693,0.512194548
175,-0.206758422,10.41631624,-0.206758422
176,0.607137028,10.20955782,0.607137028
177,1.718949415,10.81669485,1.718949415
178,1.240597616,12.53564426,1.240597616
179,-0.059992561,13.77624188,-0.059992561
180,-0.399020666,13.71624932,-0.399020666
181,-0.338862728,13.31722865,-0.338862728
182,0.421860983,12.97836592,0.421860983
183,1.579344607,13.40022691,1.579344607
184,0.125680228,14.97957151,0.125680228
185,1.740061144,15.10525174,1.740061144
186,-0.386004435,16.84531289,-0.386004435
187,-0.881353223,16.45930845,-0.881353223
188,-0.32165668,15.57795523,-0.32165668
189,0.28856115,15.25629855,0.28856115
190,0.599103765,15.5448597,0.599103765
191,0.984789183,16.14396346,0.984789183
192,-0.131792123,17.12875265,-0.131792123
193,0.095169851,16.99696052,0.095169851
194,-1.087798025,17.09213037,-1.087798025
195,0.725062393,16.00433235,0.725062393
196,1.580661316,16.72939474,1.580661316
197,0.406112556,18.31005606,0.406112556
198,0.766903199,18.71616861,0.766903199
199,2.487075075,19.48307181,2.487075075
200,-0.987988246,21.97014689,-0.987988246
201,0.566120086,20.98215864,0.566120086
202,1.782246596,21.54827873,1.782246596
203,-1.395539942,23.33052532,-1.395539942
204,-0.176225034,21.93498538,-0.176225034
205,1.788672009,21.75876035,1.788672009
206,0.70000929,23.54743236,0.70000929
207,0.037785218,24.24744165,0.037785218
208,-1.146192709,24.28522686,-1.146192709
209,-0.548916801,23.13903416,-0.548916801
210,0.301418818,22.59011735,0.301418818
211,0.059384281,22.89153617,0.059384281
212,-0.549161951,22.95092045,-0.549161951
213,-0.476024539,22.4017585,-0.476024539
214,-1.321956908,21.92573396,-1.321956908
215,-0.531413289,20.60377706,-0.531413289
216,-0.471672838,20.07236377,-0.471672838
217,1.401288135,19.60069093,1.401288135
218,-0.990523156,21.00197906,-0.990523156
219,0.271218944,20.01145591,0.271218944
220,1.971937044,20.28267485,1.971937044
221,0.48846739,22.2546119,0.48846739
222,-1.386143336,22.74307929,-1.386143336
223,-1.520233129,21.35693595,-1.520233129
224,0.637335523,19.83670282,0.637335523
225,1.70198192,20.47403834,1.70198192
226,0.280982275,22.17602026,0.280982275
227,1.850521059,22.45700254,1.850521059
228,1.018848304,24.3075236,1.018848304
229,0.994068055,25.3263719,0.994068055
230,1.471714507,26.32043996,1.471714507
231,-0.080957973,27.79215446,-0.080957973
232,0.346127883,27.71119649,0.346127883
233,0.451369207,28.05732437,0.451369207
234,-0.234695947,28.50869358,-0.234695947
235,0.057350888,28.27399763,0.057350888
236,0.719230748,28.33134852,0.719230748
237,-0.181998408,29.05057927,-0.181998408
238,-0.614190606,28.86858086,-0.614190606
239,-0.566536475,28.25439026,-0.566536475
240,0.325341509,27.68785378,0.325341509
241,0.259131098,28.01319529,0.259131098
242,0.813558054,28.27232639,0.813558054
243,0.302279288,29.08588444,0.302279288
244,-0.098722546,29.38816373,-0.098722546
245,1.267804974,29.28944118,1.267804974
246,-0.499388469,30.55724616,-0.499388469
247,-2.072110885,30.05785769,-2.072110885
248,-1.342864414,27.9857468,-1.342864414
249,1.50295409,26.64288239,1.50295409
250,-1.895660884,28.14583648,-1.895660884
251,1.071143333,26.2501756,1.071143333
252,2.086343389,27.32131893,2.086343389
253,-0.230910131,29.40766232,-0.230910131
254,0.750076374,29.17675219,0.750076374
255,-0.274861012,29.92682856,-0.274861012
256,1.024714585,29.65196755,1.024714585
257,1.170692716,30.67668213,1.170692716
258,0.457583847,31.84737485,0.457583847
259,0.914481627,32.3049587,0.914481627
260,0.99546756,33.21944032,0.99546756
261,0.995970723,34.21490788,0.995970723
262,-1.331700515,35.21087861,-1.331700515
263,-1.083267128,33.87917809,-1.083267128
264,0.210632515,32.79591096,0.210632515
265,0.733480224,33.00654348,0.733480224
266,0.559315256,33.7400237,0.559315256
267,-1.62342831,34.29933896,-1.62342831
