year,z1 rho 0.1,z1 rho 0.5 ,z1 rho 2.5,z2 rho 0.1,z2 rho 0.5,z2 rho 2.5,z3 rho 0.1,z3 rho 0.5,z3 rho 2.5,z4 rho 0.1,z4 rho 0.5,z4 rho 2.5,z5 rho 0.1,z5 rho 0.5,z5 rho 2.5
0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,24.03066185,8.688325321,-15.7892851,30.7857914,19.07953699,-14.8791133,21.24033114,5.315034789,-13.55923177,31.44689228,24.21100938,8.356937668,24.97602682,11.89350625,-11.0114244
2,24.10999743,10.48629942,17.77653796,30.08572403,12.96106208,-4.921197785,18.92495762,-0.129985562,-10.6710951,13.56615334,-15.60416193,-33.57233443,15.8622196,-8.291488109,-22.53709447
3,32.28134184,20.00867882,-0.89859534,37.40061998,21.5029045,-1.273075977,18.33930413,0.65624348,-0.42692693,5.297747004,-26.85129137,-33.89747244,8.683861487,-20.28563374,-28.53813119
4,20.48347622,-7.502371242,-26.31624447,37.79278144,16.99324126,-5.354966751,11.56172184,-10.29791664,-7.646700766,-6.279387409,-38.03887951,-23.1775422,3.138570215,-24.20165007,-18.94489344
5,20.422058,-2.965439946,-2.045088863,32.98376048,6.175922205,-5.187657009,17.09121513,0.461205055,-16.09504203,-6.910179107,-24.99624451,3.136385512,-0.207365129,-23.51513317,-18.37998427
6,25.60240892,10.17363038,11.29537143,25.94567502,-7.946078936,-23.61682696,20.30104147,5.52760436,-7.328054326,-3.266178978,-14.02668227,-12.34386896,9.766045251,1.486391957,12.3819312
7,17.01472878,-8.189651874,-20.76543577,26.58818012,-0.362375466,6.975931605,30.10702675,26.86800188,37.48845714,-7.745463675,-18.85107588,-12.98041405,-0.689715238,-22.34559934,-45.63226191
8,5.434812071,-23.77837167,-15.68094288,26.35608675,0.902497828,-5.10980868,31.50420013,18.96297378,-10.88016522,-17.01107448,-29.90692817,-12.42911439,-4.630022192,-25.43544115,-27.64119678
9,-0.823803807,-29.87388763,-32.55700091,15.60238346,-19.95370555,-38.07390837,28.39516639,8.203502568,-11.46060205,-14.51626751,-20.91817849,-19.47828557,-8.899164415,-28.54810119,-30.28427185
10,4.153971669,-11.23780542,0.640587545,25.27987917,6.478301484,16.27350357,9.095015062,-28.16824236,-38.5928036,-25.20626948,-38.36968544,-42.92668737,-4.169254119,-13.92137825,-12.72332832
11,7.113028271,-6.088700069,-19.38564215,11.09635883,-21.37474916,-33.55517824,-5.08780993,-45.05707826,-39.78375254,-23.8683124,-29.07840881,-16.63339063,-1.915088639,-8.671994545,-12.80856835
