year,Data,G uno,G dos,G tres,G quatro,G cinco,G seis,G siete,G ocho,G nueve
0,30,12.89215802,1.704213853,-5.076005345,-9.183754423,-11.64175337,-13.13873705,-14.04448503,-14.60279146,-14.94421343
1,8.688325321,-0.428932306,-6.380976187,-9.972917326,-12.14585671,-13.45007069,-14.24068269,-14.72004658,-15.01479825,-15.1945376
2,10.48629942,0.694910646,-5.698863566,-9.559785977,-11.89595691,-13.29751075,-14.14771628,-14.66305236,-14.98003901,-15.17341883
3,20.00867882,6.646975795,-2.086278058,-7.371771451,-10.57244469,-12.48952716,-13.65535026,-14.36120122,-14.79594813,-15.06157019
4,-7.502371242,-10.54910046,-12.5233775,-13.69315129,-14.39619602,-14.82386779,-15.07784202,-15.23327757,-15.32780401,-15.38471143
5,-2.965439946,-7.713243001,-10.80216355,-12.65067323,-13.76560951,-14.43890455,-14.84325456,-15.08946079,-15.24009403,-15.33142122
6,10.17363038,0.499473517,-5.81748346,-9.631629828,-11.93941467,-13.32404104,-14.16388321,-14.6729637,-14.98608367,-15.1770914
7,-8.189651874,-10.97869257,-12.78411696,-13.8510719,-14.49172092,-14.88218425,-15.11337869,-15.25506376,-15.34109082,-15.39278414
8,-23.77837167,-20.72258871,-18.69814127,-17.43298604,-16.65839168,-16.20490301,-15.9194121,-15.74921262,-15.6424589,-15.57588723
9,-29.87388763,-24.53265619,-21.01064864,-18.83358949,-17.50560534,-16.72211375,-16.23458805,-15.94243517,-15.76030013,-15.64748437
10,-11.23780542,-12.88397357,-13.94052072,-14.55146452,-14.91538272,-15.14082319,-15.27098712,-15.35168758,-15.40001908,-15.42858736
11,-6.088700069,-9.665470164,-11.98706113,-13.36832354,-14.19971035,-14.70391635,-15.00474646,-15.18846542,-15.30047429,-15.36810663
12,-4.637416663,-8.75832994,-11.43647548,-13.0348534,-13.99799697,-14.58077347,-14.92970612,-15.142461,-15.27241743,-15.35106005
13,-13.6535184,-14.39394082,-14.85699016,-15.10653746,-15.25114183,-15.34579889,-15.39589445,-15.42826358,-15.44672072,-15.45696201
14,-8.247744259,-11.01500384,-12.80615596,-13.86442014,-14.49979516,-14.88711345,-15.11638243,-15.25690524,-15.34221389,-15.39346649
15,8.885941553,-0.305410165,-6.306004848,-9.927509853,-12.1183901,-13.43330275,-14.2304647,-14.71378231,-15.01097785,-15.19221643
16,9.689130518,0.196631693,-6.001292266,-9.742956282,-12.00675514,-13.36515135,-14.18893486,-14.68832192,-14.99545024,-15.18278227
17,-8.923513088,-11.43740038,-13.06252809,-14.01969562,-14.59372003,-14.94445312,-15.15132386,-15.27832653,-15.35527815,-15.40140398
18,-14.23398926,-14.75677034,-15.07720829,-15.23991575,-15.33182128,-15.39505244,-15.42590839,-15.446664,-15.45794265,-15.46378015
19,-9.132405677,-11.56797093,-13.14177743,-14.06769413,-14.62275394,-14.96217787,-15.16212491,-15.28494824,-15.35931656,-15.40385761
20,-4.840047743,-8.884986665,-11.51334935,-13.08141317,-14.0261606,-14.59796693,-14.9401834,-15.14888423,-15.27633478,-15.35344012
21,-8.705792592,-11.30131185,-12.97992963,-13.96966867,-14.56345914,-14.92597932,-15.14006637,-15.27142498,-15.35106908,-15.39884666
22,-14.2571253,-14.77123177,-15.08598561,-15.24523186,-15.33503695,-15.39701556,-15.42710466,-15.44739739,-15.45838992,-15.4640519
23,-10.26972976,-13.53470057,-14.82150589,-15.24466271,-15.38915107,-15.45502039,-15.46697974,-15.47482497,-15.47529552,-15.47373258
25,-32.24668188,-22.12111512,-17.98460479,-16.40498037,-15.81370455,-15.61324775,-15.52573579,-15.49690818,-15.48350927,-15.47676464
27,-9.024012824,-13.04799787,-14.64221234,-15.17889256,-15.36508616,-15.44605161,-15.46364927,-15.47357323,-15.47482995,-15.47356072
29,-13.64186678,-14.38665785,-14.85256978,-15.1038602,-15.24952238,-15.34481024,-15.39529199,-15.42789423,-15.44649547,-15.45682515
30,-30.03758794,-21.25802017,-17.6666543,-16.28834678,-15.771029,-15.59734295,-15.51982971,-15.49468841,-15.48268363,-15.47645986
32,-11.2425519,-12.88694041,-13.94232143,-14.55255515,-14.91604243,-15.14122593,-15.27123254,-15.35183804,-15.40011085,-15.42864311
33,-18.3957259,-17.35810837,-16.65608147,-16.19618307,-15.91025961,-15.74818003,-15.64109596,-15.57858743,-15.53839919,-15.51266337
34,-33.85604667,-27.02174731,-22.52139396,-19.74859418,-18.05908424,-17.06000401,-16.44049034,-16.06866614,-15.837285,-15.6942583
