tau,dqrng,mt19937,sitmo,rnorm
0,1.605095734,0.61310947,0.956303637,1.084099118
1,0.223472397,0.756040305,0.287382219,0.843108859
2,-1.785685808,0.393922464,1.471461641,0.494389043
3,-1.183147611,-0.568286132,0.344126277,-0.77301606
4,0.335688267,-2.085088686,-0.591166139,2.903816051
5,-0.103447734,-0.659838656,0.805704249,0.908883932
6,-1.849008774,0.394165407,1.979488541,-0.963076651
7,1.646809139,0.847536134,1.63269407,-0.188288743
8,-0.819420984,0.820689306,-0.329141001,1.420374398
9,-0.451318836,-0.535364585,-0.861986572,0.986438221
10,0.367527206,1.149210926,0.344534681,-0.449940487
11,-0.338017796,1.680313985,1.292502647,1.071666297
12,0.040808785,-0.99959459,0.639795961,-0.416571158
13,0.239942539,1.148821664,0.314647551,-0.429139339
14,1.397083625,0.220633851,0.560015612,-0.116658894
15,0.289392263,-0.538998882,0.767933234,-0.298538936
16,-0.500977337,-1.297538378,1.507954622,-0.179238372
17,2.138631672,-0.823846679,-0.029346961,2.332902578
18,0.050117696,-0.82425206,0.416409798,-0.298945952
19,-0.767517694,-0.067998333,-1.818183757,1.734201355
20,0.381879418,0.968257997,-1.070790457,0.49183862
21,-1.243667027,1.014105535,-0.463718008,0.908448234
22,1.097636199,-0.769189044,-0.89492941,0.156158817
23,1.455602036,-1.885239979,-0.052672937,-0.116505156
24,0.045662453,2.388395742,0.167540394,-0.032771019
25,1.18032919,0.609878688,-0.123012965,-0.479025672
26,-1.222628343,0.884660517,-0.313988576,-1.439276251
27,1.955250632,-0.034008241,0.010024125,1.110198571
28,-0.009868171,-2.481153306,-0.92492235,-0.227832499
29,-0.416446061,0.60432783,0.020814805,0.197527457
30,-1.15286903,-0.468564572,-0.096538645,-0.710131492
31,0.714300272,-0.605473003,-0.691836342,-2.077894902
32,-0.936955422,-0.463521272,0.058649375,-0.410722634
33,0.296313511,0.996000974,-1.453046905,1.181679932
34,-0.45205385,1.715738438,-1.243906723,0.922259974
35,0.081544373,0.921605737,0.099467669,0.34630092
36,-1.458310434,1.717746599,0.770857633,-0.147418453
37,0.924679986,1.322414705,-1.231867209,-0.615781881
38,1.21458334,0.195736371,0.525704929,-1.398229214
39,-1.28100725,1.719488943,-0.411023064,-0.811907926
40,1.594028317,-1.184587621,-1.376064747,0.512803339
41,-0.53779317,0.896436013,-0.048428654,0.138572801
42,1.147090226,-0.552485266,0.819189623,0.144930626
43,0.40975996,1.083505338,-0.190550941,-1.556451985
44,0.879400461,0.148537927,-0.222387593,-0.986709848
45,0.781655751,0.2519502,-0.476553581,0.245625374
46,-0.445177745,-0.888893707,1.296262467,-0.512687908
47,-0.080808065,0.52254763,-0.301607205,-0.17375576
48,0.423151627,-0.091956895,-1.417424668,-1.096783701
49,-2.667176762,-1.655474423,-0.336336154,-0.844082445
50,0.704551789,1.298412749,1.684319023,0.910031824
51,-0.400699892,-1.637048772,-0.167773012,-0.354145335
52,-1.211542146,-0.974497425,-1.489302345,0.90726138
53,-2.392278486,0.820474639,-0.777208334,-0.017775916
54,0.158694491,-1.174982191,0.807431959,2.086508281
55,0.571666311,0.469199705,-0.753239262,-2.290000546
56,0.421129786,1.102454742,-1.579934232,0.345615893
57,-1.264131432,-0.159894004,-1.206450083,-0.808784576
58,-1.026537195,0.480495068,-1.473857076,0.348626625
59,0.542506962,0.342041436,0.485347769,0.692069026
60,-1.897307916,1.379351716,-0.219279285,0.929012356
61,-1.093812442,-0.312949984,-0.525870286,1.302040829
62,-0.999387262,-0.584718631,0.319295233,-2.024269873
63,-1.18008085,-0.114601999,1.848252318,0.525638717
64,0.784946158,-0.126006209,-0.940544161,-0.129327758
65,0.802321769,-2.128464348,1.636491578,-0.067502962
66,-0.902102508,0.237438966,0.094921913,-2.325262079
67,0.364308623,-1.38579208,0.010843028,-1.147577958
68,1.326262706,2.146383158,-0.675839733,-0.936650252
69,0.375302598,-0.910559278,0.818057823,0.294105914
70,-1.469598154,1.042612554,1.069930003,-0.301173378
71,0.608010015,-0.782100549,0.760169349,-0.920162044
72,-0.973797944,1.174453194,0.424478563,0.006427058
73,-1.597077638,-0.752304249,0.407739378,2.097733618
74,-0.661357706,3.007369772,-2.436220119,0.667937138
75,0.442818854,2.248602753,1.170998764,-0.266276461
76,-0.574389415,-0.888368773,0.545426294,-0.842055877
77,-0.89066844,-0.10962008,1.457762702,2.14262021
78,-0.593967453,0.653501828,-0.116452207,-0.202301191
79,2.648341528,-0.081450033,-0.672755872,-0.314060141
80,-0.750871741,0.09272586,-0.431866743,0.93866488
81,-0.820232605,-0.398462842,-1.425778765,0.458702609
82,1.171782204,-0.141277717,1.005758188,-0.060989755
83,-0.070813671,-0.412020478,-0.824411999,-1.44396377
84,-0.260238419,1.312263257,0.070426819,-0.444129134
85,-0.397755403,-0.219451348,-1.000076496,-0.282422197
86,0.597860281,-0.513707097,0.671688864,0.385709134
87,-0.353826683,0.166211757,0.760281735,-0.883908937
88,1.415792424,-0.124744917,0.72278448,0.263724262
89,0.271874875,-0.932909386,1.430030503,0.887001838
90,0.242149509,-0.334797741,1.018489714,1.147889977
91,0.031980839,0.966800259,-0.590876046,-1.301814471
92,0.126099889,-0.489914339,-0.783400142,-1.212096749
93,0.897741878,0.010440836,0.012426994,-1.137508459
94,-0.332923267,0.983882668,-0.384344837,-0.251382029
95,-0.51165345,2.012770273,-1.407835543,-1.267161777
96,0.85055704,0.230213588,0.789043095,2.034952265
97,-0.634090071,1.666006616,-0.10993093,1.495905621
98,0.333268589,-1.473772103,0.092042475,1.197814125
99,0.611245307,-0.43894885,0.459006743,-0.08410387
100,0.815565648,0.782092691,-1.485438826,-1.120245471
101,-1.217727666,0.467627048,-0.129762587,0.991790734
102,-0.696875121,0.180590898,0.748794469,0.286836346
103,-2.42885924,0.59451047,-0.204115139,-0.081832034
104,-1.210139602,0.282933813,0.142677284,1.046185168
